connect() error  [ErrorCode:10035] [Line:274]
start X:137 startY:101 endX:138 endY:101   [ErrorCode:0] [Line:415]
start X:137 startY:101 endX:139 endY:101   [ErrorCode:0] [Line:415]
start X:138 startY:101 endX:143 endY:101   [ErrorCode:0] [Line:415]
start X:139 startY:101 endX:149 endY:100   [ErrorCode:0] [Line:415]
start X:139 startY:101 endX:156 endY:98   [ErrorCode:0] [Line:415]
start X:143 startY:101 endX:164 endY:97   [ErrorCode:0] [Line:415]
start X:143 startY:101 endX:174 endY:96   [ErrorCode:0] [Line:415]
start X:149 startY:100 endX:179 endY:96   [ErrorCode:0] [Line:415]
start X:156 startY:98 endX:182 endY:95   [ErrorCode:0] [Line:415]
start X:164 startY:97 endX:183 endY:95   [ErrorCode:0] [Line:415]
start X:174 startY:96 endX:185 endY:95   [ErrorCode:0] [Line:415]
start X:179 startY:96 endX:191 endY:96   [ErrorCode:0] [Line:415]
start X:182 startY:95 endX:191 endY:100   [ErrorCode:0] [Line:415]
start X:183 startY:95 endX:191 endY:111   [ErrorCode:0] [Line:415]
start X:185 startY:95 endX:191 endY:117   [ErrorCode:0] [Line:415]
start X:191 startY:96 endX:188 endY:121   [ErrorCode:0] [Line:415]
start X:191 startY:100 endX:185 endY:125   [ErrorCode:0] [Line:415]
start X:191 startY:111 endX:183 endY:127   [ErrorCode:0] [Line:415]
start X:191 startY:117 endX:179 endY:128   [ErrorCode:0] [Line:415]
start X:188 startY:121 endX:174 endY:129   [ErrorCode:0] [Line:415]
start X:185 startY:125 endX:169 endY:129   [ErrorCode:0] [Line:415]
start X:183 startY:127 endX:162 endY:129   [ErrorCode:0] [Line:415]
start X:169 startY:129 endX:155 endY:126   [ErrorCode:0] [Line:415]
start X:169 startY:129 endX:148 endY:120   [ErrorCode:0] [Line:415]
start X:155 startY:126 endX:140 endY:116   [ErrorCode:0] [Line:415]
start X:148 startY:120 endX:136 endY:112   [ErrorCode:0] [Line:415]
start X:136 startY:112 endX:131 endY:108   [ErrorCode:0] [Line:415]
start X:136 startY:112 endX:127 endY:102   [ErrorCode:0] [Line:415]
start X:136 startY:112 endX:124 endY:99   [ErrorCode:0] [Line:415]
start X:131 startY:108 endX:124 endY:96   [ErrorCode:0] [Line:415]
start X:127 startY:102 endX:124 endY:94   [ErrorCode:0] [Line:415]
start X:124 startY:96 endX:124 endY:93   [ErrorCode:0] [Line:415]
start X:124 startY:93 endX:126 endY:93   [ErrorCode:0] [Line:415]
start X:124 startY:93 endX:126 endY:93   [ErrorCode:0] [Line:415]
start X:126 startY:93 endX:127 endY:93   [ErrorCode:0] [Line:415]
start X:127 startY:93 endX:126 endY:95   [ErrorCode:0] [Line:415]
start X:126 startY:95 endX:125 endY:95   [ErrorCode:0] [Line:415]
start X:126 startY:95 endX:124 endY:95   [ErrorCode:0] [Line:415]
start X:124 startY:95 endX:124 endY:95   [ErrorCode:0] [Line:415]
start X:124 startY:95 endX:124 endY:95   [ErrorCode:0] [Line:415]
start X:124 startY:95 endX:123 endY:91   [ErrorCode:0] [Line:415]
start X:124 startY:95 endX:125 endY:85   [ErrorCode:0] [Line:415]
start X:124 startY:95 endX:129 endY:83   [ErrorCode:0] [Line:415]
start X:123 startY:91 endX:139 endY:82   [ErrorCode:0] [Line:415]
start X:125 startY:85 endX:148 endY:82   [ErrorCode:0] [Line:415]
start X:129 startY:83 endX:158 endY:82   [ErrorCode:0] [Line:415]
start X:139 startY:82 endX:163 endY:82   [ErrorCode:0] [Line:415]
start X:148 startY:82 endX:164 endY:82   [ErrorCode:0] [Line:415]
start X:158 startY:82 endX:166 endY:83   [ErrorCode:0] [Line:415]
start X:163 startY:82 endX:167 endY:85   [ErrorCode:0] [Line:415]
start X:164 startY:82 endX:168 endY:89   [ErrorCode:0] [Line:415]
start X:166 startY:83 endX:169 endY:93   [ErrorCode:0] [Line:415]
start X:167 startY:85 endX:169 endY:95   [ErrorCode:0] [Line:415]
start X:168 startY:89 endX:167 endY:98   [ErrorCode:0] [Line:415]
start X:168 startY:89 endX:166 endY:99   [ErrorCode:0] [Line:415]
start X:169 startY:93 endX:162 endY:99   [ErrorCode:0] [Line:415]
start X:169 startY:95 endX:157 endY:101   [ErrorCode:0] [Line:415]
start X:167 startY:98 endX:154 endY:101   [ErrorCode:0] [Line:415]
start X:166 startY:99 endX:151 endY:101   [ErrorCode:0] [Line:415]
start X:151 startY:101 endX:151 endY:102   [ErrorCode:0] [Line:415]
start X:151 startY:101 endX:151 endY:102   [ErrorCode:0] [Line:415]
start X:151 startY:102 endX:151 endY:102   [ErrorCode:0] [Line:415]
start X:151 startY:102 endX:150 endY:102   [ErrorCode:0] [Line:415]
start X:150 startY:102 endX:150 endY:102   [ErrorCode:0] [Line:415]
start X:150 startY:102 endX:149 endY:102   [ErrorCode:0] [Line:415]
start X:149 startY:102 endX:148 endY:102   [ErrorCode:0] [Line:415]
start X:149 startY:102 endX:148 endY:102   [ErrorCode:0] [Line:415]
start X:148 startY:102 endX:147 endY:102   [ErrorCode:0] [Line:415]
start X:148 startY:102 endX:147 endY:102   [ErrorCode:0] [Line:415]
start X:147 startY:102 endX:147 endY:102   [ErrorCode:0] [Line:415]
start X:147 startY:102 endX:147 endY:102   [ErrorCode:0] [Line:415]
start X:147 startY:102 endX:147 endY:102   [ErrorCode:0] [Line:415]
start X:147 startY:102 endX:145 endY:101   [ErrorCode:0] [Line:415]
start X:147 startY:102 endX:144 endY:99   [ErrorCode:0] [Line:415]
start X:147 startY:102 endX:143 endY:92   [ErrorCode:0] [Line:415]
start X:145 startY:101 endX:140 endY:87   [ErrorCode:0] [Line:415]
start X:144 startY:99 endX:139 endY:78   [ErrorCode:0] [Line:415]
start X:143 startY:92 endX:139 endY:76   [ErrorCode:0] [Line:415]
start X:139 startY:78 endX:139 endY:74   [ErrorCode:0] [Line:415]
start X:139 startY:76 endX:139 endY:73   [ErrorCode:0] [Line:415]
start X:139 startY:76 endX:139 endY:72   [ErrorCode:0] [Line:415]
start X:139 startY:74 endX:141 endY:71   [ErrorCode:0] [Line:415]
start X:139 startY:73 endX:147 endY:71   [ErrorCode:0] [Line:415]
start X:141 startY:71 endX:152 endY:71   [ErrorCode:0] [Line:415]
start X:141 startY:71 endX:157 endY:71   [ErrorCode:0] [Line:415]
start X:147 startY:71 endX:165 endY:75   [ErrorCode:0] [Line:415]
start X:152 startY:71 endX:169 endY:77   [ErrorCode:0] [Line:415]
start X:157 startY:71 endX:172 endY:81   [ErrorCode:0] [Line:415]
start X:165 startY:75 endX:176 endY:83   [ErrorCode:0] [Line:415]
start X:169 startY:77 endX:176 endY:84   [ErrorCode:0] [Line:415]
start X:176 startY:83 endX:176 endY:86   [ErrorCode:0] [Line:415]
start X:176 startY:86 endX:177 endY:87   [ErrorCode:0] [Line:415]
start X:176 startY:86 endX:177 endY:89   [ErrorCode:0] [Line:415]
start X:176 startY:86 endX:174 endY:90   [ErrorCode:0] [Line:415]
start X:177 startY:87 endX:169 endY:90   [ErrorCode:0] [Line:415]
start X:177 startY:89 endX:158 endY:91   [ErrorCode:0] [Line:415]
start X:174 startY:90 endX:146 endY:91   [ErrorCode:0] [Line:415]
start X:158 startY:91 endX:143 endY:91   [ErrorCode:0] [Line:415]
start X:146 startY:91 endX:135 endY:86   [ErrorCode:0] [Line:415]
start X:146 startY:91 endX:133 endY:82   [ErrorCode:0] [Line:415]
start X:143 startY:91 endX:132 endY:79   [ErrorCode:0] [Line:415]
start X:135 startY:86 endX:132 endY:76   [ErrorCode:0] [Line:415]
start X:133 startY:82 endX:132 endY:75   [ErrorCode:0] [Line:415]
start X:132 startY:75 endX:132 endY:73   [ErrorCode:0] [Line:415]
start X:132 startY:75 endX:137 endY:72   [ErrorCode:0] [Line:415]
start X:137 startY:72 endX:143 endY:72   [ErrorCode:0] [Line:415]
start X:137 startY:72 endX:148 endY:72   [ErrorCode:0] [Line:415]
start X:143 startY:72 endX:154 endY:72   [ErrorCode:0] [Line:415]
start X:148 startY:72 endX:157 endY:72   [ErrorCode:0] [Line:415]
start X:154 startY:72 endX:158 endY:72   [ErrorCode:0] [Line:415]
start X:157 startY:72 endX:159 endY:72   [ErrorCode:0] [Line:415]
start X:159 startY:72 endX:160 endY:72   [ErrorCode:0] [Line:415]
start X:160 startY:72 endX:160 endY:73   [ErrorCode:0] [Line:415]
start X:160 startY:72 endX:161 endY:74   [ErrorCode:0] [Line:415]
start X:161 startY:74 endX:161 endY:76   [ErrorCode:0] [Line:415]
start X:161 startY:74 endX:161 endY:79   [ErrorCode:0] [Line:415]
start X:161 startY:76 endX:161 endY:82   [ErrorCode:0] [Line:415]
start X:161 startY:79 endX:160 endY:85   [ErrorCode:0] [Line:415]
start X:161 startY:82 endX:157 endY:88   [ErrorCode:0] [Line:415]
start X:160 startY:85 endX:154 endY:89   [ErrorCode:0] [Line:415]
start X:154 startY:89 endX:149 endY:90   [ErrorCode:0] [Line:415]
start X:154 startY:89 endX:144 endY:90   [ErrorCode:0] [Line:415]
start X:149 startY:90 endX:136 endY:90   [ErrorCode:0] [Line:415]
start X:149 startY:90 endX:128 endY:90   [ErrorCode:0] [Line:415]
start X:128 startY:90 endX:122 endY:89   [ErrorCode:0] [Line:415]
start X:128 startY:90 endX:116 endY:86   [ErrorCode:0] [Line:415]
start X:128 startY:90 endX:113 endY:85   [ErrorCode:0] [Line:415]
start X:122 startY:89 endX:109 endY:82   [ErrorCode:0] [Line:415]
start X:113 startY:85 endX:108 endY:81   [ErrorCode:0] [Line:415]
start X:109 startY:82 endX:105 endY:78   [ErrorCode:0] [Line:415]
start X:105 startY:78 endX:105 endY:75   [ErrorCode:0] [Line:415]
start X:105 startY:75 endX:105 endY:74   [ErrorCode:0] [Line:415]
start X:105 startY:74 endX:106 endY:73   [ErrorCode:0] [Line:415]
start X:106 startY:73 endX:108 endY:73   [ErrorCode:0] [Line:415]
start X:106 startY:73 endX:113 endY:73   [ErrorCode:0] [Line:415]
start X:113 startY:73 endX:118 endY:73   [ErrorCode:0] [Line:415]
start X:118 startY:73 endX:123 endY:75   [ErrorCode:0] [Line:415]
start X:123 startY:75 endX:125 endY:76   [ErrorCode:0] [Line:415]
start X:123 startY:75 endX:127 endY:77   [ErrorCode:0] [Line:415]
start X:125 startY:76 endX:128 endY:78   [ErrorCode:0] [Line:415]
start X:128 startY:78 endX:128 endY:79   [ErrorCode:0] [Line:415]
start X:128 startY:79 endX:128 endY:80   [ErrorCode:0] [Line:415]
start X:128 startY:79 endX:128 endY:81   [ErrorCode:0] [Line:415]
start X:128 startY:81 endX:125 endY:81   [ErrorCode:0] [Line:415]
start X:128 startY:81 endX:121 endY:81   [ErrorCode:0] [Line:415]
start X:121 startY:81 endX:117 endY:81   [ErrorCode:0] [Line:415]
start X:121 startY:81 endX:113 endY:81   [ErrorCode:0] [Line:415]
start X:117 startY:81 endX:105 endY:81   [ErrorCode:0] [Line:415]
start X:117 startY:81 endX:100 endY:81   [ErrorCode:0] [Line:415]
start X:100 startY:81 endX:96 endY:81   [ErrorCode:0] [Line:415]
start X:100 startY:81 endX:89 endY:80   [ErrorCode:0] [Line:415]
start X:89 startY:80 endX:82 endY:78   [ErrorCode:0] [Line:415]
start X:89 startY:80 endX:77 endY:74   [ErrorCode:0] [Line:415]
start X:77 startY:74 endX:72 endY:70   [ErrorCode:0] [Line:415]
start X:77 startY:74 endX:66 endY:63   [ErrorCode:0] [Line:415]
start X:66 startY:63 endX:64 endY:57   [ErrorCode:0] [Line:415]
start X:64 startY:57 endX:62 endY:53   [ErrorCode:0] [Line:415]
start X:62 startY:53 endX:62 endY:51   [ErrorCode:0] [Line:415]
start X:62 startY:51 endX:62 endY:48   [ErrorCode:0] [Line:415]
start X:62 startY:48 endX:62 endY:46   [ErrorCode:0] [Line:415]
start X:62 startY:46 endX:62 endY:44   [ErrorCode:0] [Line:415]
start X:62 startY:44 endX:65 endY:41   [ErrorCode:0] [Line:415]
start X:65 startY:41 endX:69 endY:39   [ErrorCode:0] [Line:415]
start X:69 startY:39 endX:74 endY:36   [ErrorCode:0] [Line:415]
start X:69 startY:39 endX:81 endY:35   [ErrorCode:0] [Line:415]
start X:81 startY:35 endX:88 endY:35   [ErrorCode:0] [Line:415]
start X:88 startY:35 endX:93 endY:35   [ErrorCode:0] [Line:415]
start X:88 startY:35 endX:99 endY:35   [ErrorCode:0] [Line:415]
start X:99 startY:35 endX:103 endY:35   [ErrorCode:0] [Line:415]
start X:99 startY:35 endX:106 endY:35   [ErrorCode:0] [Line:415]
start X:103 startY:35 endX:107 endY:37   [ErrorCode:0] [Line:415]
start X:103 startY:35 endX:110 endY:42   [ErrorCode:0] [Line:415]
start X:107 startY:37 endX:111 endY:46   [ErrorCode:0] [Line:415]
start X:110 startY:42 endX:111 endY:53   [ErrorCode:0] [Line:415]
start X:111 startY:46 endX:111 endY:57   [ErrorCode:0] [Line:415]
start X:111 startY:46 endX:111 endY:59   [ErrorCode:0] [Line:415]
start X:111 startY:53 endX:109 endY:62   [ErrorCode:0] [Line:415]
start X:111 startY:57 endX:108 endY:63   [ErrorCode:0] [Line:415]
start X:111 startY:59 endX:101 endY:66   [ErrorCode:0] [Line:415]
start X:109 startY:62 endX:96 endY:66   [ErrorCode:0] [Line:415]
start X:108 startY:63 endX:87 endY:67   [ErrorCode:0] [Line:415]
start X:101 startY:66 endX:77 endY:67   [ErrorCode:0] [Line:415]
start X:87 startY:67 endX:67 endY:67   [ErrorCode:0] [Line:415]
start X:67 startY:67 endX:56 endY:67   [ErrorCode:0] [Line:415]
start X:56 startY:67 endX:47 endY:67   [ErrorCode:0] [Line:415]
start X:47 startY:67 endX:41 endY:66   [ErrorCode:0] [Line:415]
start X:47 startY:67 endX:34 endY:62   [ErrorCode:0] [Line:415]
start X:34 startY:62 endX:30 endY:59   [ErrorCode:0] [Line:415]
start X:34 startY:62 endX:29 endY:57   [ErrorCode:0] [Line:415]
start X:30 startY:59 endX:25 endY:51   [ErrorCode:0] [Line:415]
start X:30 startY:59 endX:24 endY:47   [ErrorCode:0] [Line:415]
start X:25 startY:51 endX:23 endY:44   [ErrorCode:0] [Line:415]
