connect() error  [ErrorCode:10035] [Line:276]
start X:494 startY:227 endX:494 endY:221   [ErrorCode:0] [Line:417]
start X:494 startY:227 endX:494 endY:221   [ErrorCode:0] [Line:417]
start X:494 startY:221 endX:496 endY:214   [ErrorCode:0] [Line:417]
start X:494 startY:221 endX:503 endY:204   [ErrorCode:0] [Line:417]
start X:494 startY:221 endX:511 endY:194   [ErrorCode:0] [Line:417]
start X:503 startY:204 endX:519 endY:186   [ErrorCode:0] [Line:417]
start X:511 startY:194 endX:531 endY:180   [ErrorCode:0] [Line:417]
start X:519 startY:186 endX:546 endY:175   [ErrorCode:0] [Line:417]
start X:531 startY:180 endX:560 endY:172   [ErrorCode:0] [Line:417]
start X:560 startY:172 endX:576 endY:171   [ErrorCode:0] [Line:417]
start X:560 startY:172 endX:591 endY:171   [ErrorCode:0] [Line:417]
start X:560 startY:172 endX:602 endY:171   [ErrorCode:0] [Line:417]
start X:591 startY:171 endX:608 endY:171   [ErrorCode:0] [Line:417]
start X:602 startY:171 endX:610 endY:171   [ErrorCode:0] [Line:417]
start X:608 startY:171 endX:611 endY:171   [ErrorCode:0] [Line:417]
start X:610 startY:171 endX:612 endY:173   [ErrorCode:0] [Line:417]
start X:611 startY:171 endX:612 endY:179   [ErrorCode:0] [Line:417]
start X:612 startY:179 endX:612 endY:190   [ErrorCode:0] [Line:417]
start X:612 startY:179 endX:610 endY:201   [ErrorCode:0] [Line:417]
start X:612 startY:179 endX:607 endY:211   [ErrorCode:0] [Line:417]
start X:612 startY:190 endX:604 endY:222   [ErrorCode:0] [Line:417]
start X:607 startY:211 endX:599 endY:235   [ErrorCode:0] [Line:417]
start X:604 startY:222 endX:593 endY:245   [ErrorCode:0] [Line:417]
start X:604 startY:222 endX:584 endY:255   [ErrorCode:0] [Line:417]
start X:599 startY:235 endX:570 endY:265   [ErrorCode:0] [Line:417]
start X:593 startY:245 endX:563 endY:267   [ErrorCode:0] [Line:417]
start X:584 startY:255 endX:555 endY:268   [ErrorCode:0] [Line:417]
start X:570 startY:265 endX:549 endY:270   [ErrorCode:0] [Line:417]
start X:563 startY:267 endX:545 endY:270   [ErrorCode:0] [Line:417]
start X:549 startY:270 endX:542 endY:270   [ErrorCode:0] [Line:417]
start X:549 startY:270 endX:541 endY:270   [ErrorCode:0] [Line:417]
start X:542 startY:270 endX:538 endY:266   [ErrorCode:0] [Line:417]
start X:541 startY:270 endX:536 endY:260   [ErrorCode:0] [Line:417]
start X:538 startY:266 endX:531 endY:251   [ErrorCode:0] [Line:417]
start X:531 startY:251 endX:530 endY:242   [ErrorCode:0] [Line:417]
start X:531 startY:251 endX:530 endY:236   [ErrorCode:0] [Line:417]
start X:530 startY:236 endX:530 endY:229   [ErrorCode:0] [Line:417]
start X:530 startY:236 endX:530 endY:226   [ErrorCode:0] [Line:417]
start X:530 startY:226 endX:532 endY:222   [ErrorCode:0] [Line:417]
start X:532 startY:222 endX:534 endY:219   [ErrorCode:0] [Line:417]
start X:534 startY:219 endX:536 endY:219   [ErrorCode:0] [Line:417]
start X:534 startY:219 endX:539 endY:219   [ErrorCode:0] [Line:417]
start X:539 startY:219 endX:541 endY:219   [ErrorCode:0] [Line:417]
start X:539 startY:219 endX:544 endY:222   [ErrorCode:0] [Line:417]
start X:544 startY:222 endX:547 endY:231   [ErrorCode:0] [Line:417]
start X:544 startY:222 endX:549 endY:240   [ErrorCode:0] [Line:417]
start X:549 startY:240 endX:550 endY:249   [ErrorCode:0] [Line:417]
start X:549 startY:240 endX:550 endY:256   [ErrorCode:0] [Line:417]
start X:550 startY:249 endX:550 endY:262   [ErrorCode:0] [Line:417]
start X:550 startY:256 endX:550 endY:267   [ErrorCode:0] [Line:417]
start X:550 startY:267 endX:547 endY:274   [ErrorCode:0] [Line:417]
start X:550 startY:267 endX:543 endY:280   [ErrorCode:0] [Line:417]
start X:543 startY:280 endX:533 endY:285   [ErrorCode:0] [Line:417]
start X:543 startY:280 endX:521 endY:290   [ErrorCode:0] [Line:417]
start X:543 startY:280 endX:505 endY:291   [ErrorCode:0] [Line:417]
start X:533 startY:285 endX:505 endY:291   [ErrorCode:0] [Line:417]
start X:521 startY:290 endX:490 endY:292   [ErrorCode:0] [Line:417]
start X:505 startY:291 endX:455 endY:292   [ErrorCode:0] [Line:417]
start X:505 startY:291 endX:434 endY:289   [ErrorCode:0] [Line:417]
start X:455 startY:292 endX:423 endY:282   [ErrorCode:0] [Line:417]
start X:434 startY:289 endX:413 endY:274   [ErrorCode:0] [Line:417]
start X:434 startY:289 endX:402 endY:263   [ErrorCode:0] [Line:417]
start X:423 startY:282 endX:394 endY:249   [ErrorCode:0] [Line:417]
start X:413 startY:274 endX:392 endY:237   [ErrorCode:0] [Line:417]
start X:402 startY:263 endX:392 endY:214   [ErrorCode:0] [Line:417]
start X:394 startY:249 endX:392 endY:214   [ErrorCode:0] [Line:417]
start X:392 startY:237 endX:397 endY:206   [ErrorCode:0] [Line:417]
start X:392 startY:214 endX:407 endY:197   [ErrorCode:0] [Line:417]
start X:392 startY:214 endX:422 endY:193   [ErrorCode:0] [Line:417]
start X:397 startY:206 endX:438 endY:191   [ErrorCode:0] [Line:417]
start X:407 startY:197 endX:460 endY:191   [ErrorCode:0] [Line:417]
start X:422 startY:193 endX:473 endY:191   [ErrorCode:0] [Line:417]
start X:438 startY:191 endX:486 endY:193   [ErrorCode:0] [Line:417]
start X:460 startY:191 endX:491 endY:195   [ErrorCode:0] [Line:417]
start X:473 startY:191 endX:495 endY:199   [ErrorCode:0] [Line:417]
start X:486 startY:193 endX:496 endY:207   [ErrorCode:0] [Line:417]
start X:491 startY:195 endX:496 endY:231   [ErrorCode:0] [Line:417]
start X:495 startY:199 endX:470 endY:268   [ErrorCode:0] [Line:417]
start X:496 startY:231 endX:454 endY:281   [ErrorCode:0] [Line:417]
start X:470 startY:268 endX:438 endY:294   [ErrorCode:0] [Line:417]
start X:470 startY:268 endX:421 endY:305   [ErrorCode:0] [Line:417]
start X:454 startY:281 endX:409 endY:308   [ErrorCode:0] [Line:417]
start X:438 startY:294 endX:394 endY:312   [ErrorCode:0] [Line:417]
start X:421 startY:305 endX:382 endY:312   [ErrorCode:0] [Line:417]
start X:409 startY:308 endX:367 endY:312   [ErrorCode:0] [Line:417]
start X:394 startY:312 endX:355 endY:309   [ErrorCode:0] [Line:417]
start X:382 startY:312 endX:345 endY:304   [ErrorCode:0] [Line:417]
start X:367 startY:312 endX:333 endY:289   [ErrorCode:0] [Line:417]
start X:355 startY:309 endX:331 endY:277   [ErrorCode:0] [Line:417]
start X:345 startY:304 endX:331 endY:262   [ErrorCode:0] [Line:417]
start X:333 startY:289 endX:331 endY:249   [ErrorCode:0] [Line:417]
start X:331 startY:277 endX:334 endY:237   [ErrorCode:0] [Line:417]
start X:331 startY:262 endX:341 endY:226   [ErrorCode:0] [Line:417]
start X:331 startY:249 endX:350 endY:216   [ErrorCode:0] [Line:417]
start X:334 startY:237 endX:357 endY:208   [ErrorCode:0] [Line:417]
start X:341 startY:226 endX:365 endY:204   [ErrorCode:0] [Line:417]
start X:350 startY:216 endX:379 endY:200   [ErrorCode:0] [Line:417]
start X:365 startY:204 endX:385 endY:200   [ErrorCode:0] [Line:417]
start X:379 startY:200 endX:394 endY:212   [ErrorCode:0] [Line:417]
start X:379 startY:200 endX:400 endY:225   [ErrorCode:0] [Line:417]
start X:385 startY:200 endX:402 endY:231   [ErrorCode:0] [Line:417]
start X:394 startY:212 endX:403 endY:234   [ErrorCode:0] [Line:417]
start X:400 startY:225 endX:403 endY:238   [ErrorCode:0] [Line:417]
start X:402 startY:231 endX:403 endY:242   [ErrorCode:0] [Line:417]
start X:403 startY:234 endX:403 endY:245   [ErrorCode:0] [Line:417]
start X:403 startY:238 endX:401 endY:249   [ErrorCode:0] [Line:417]
start X:403 startY:242 endX:395 endY:252   [ErrorCode:0] [Line:417]
start X:403 startY:245 endX:388 endY:254   [ErrorCode:0] [Line:417]
start X:401 startY:249 endX:379 endY:255   [ErrorCode:0] [Line:417]
start X:395 startY:252 endX:369 endY:255   [ErrorCode:0] [Line:417]
start X:388 startY:254 endX:361 endY:255   [ErrorCode:0] [Line:417]
start X:379 startY:255 endX:351 endY:254   [ErrorCode:0] [Line:417]
start X:369 startY:255 endX:346 endY:252   [ErrorCode:0] [Line:417]
start X:351 startY:254 endX:337 endY:247   [ErrorCode:0] [Line:417]
