connect() error  [ErrorCode:10035] [Line:267]
start X:568 startY:259 endX:552 endY:259   [ErrorCode:0] [Line:408]
start X:552 startY:259 endX:533 endY:259   [ErrorCode:0] [Line:408]
start X:533 startY:259 endX:519 endY:259   [ErrorCode:0] [Line:408]
start X:533 startY:259 endX:507 endY:257   [ErrorCode:0] [Line:408]
start X:519 startY:259 endX:496 endY:251   [ErrorCode:0] [Line:408]
start X:519 startY:259 endX:465 endY:207   [ErrorCode:0] [Line:408]
start X:465 startY:207 endX:474 endY:199   [ErrorCode:0] [Line:408]
start X:474 startY:199 endX:497 endY:195   [ErrorCode:0] [Line:408]
start X:474 startY:199 endX:538 endY:195   [ErrorCode:0] [Line:408]
start X:474 startY:199 endX:608 endY:196   [ErrorCode:0] [Line:408]
start X:538 startY:195 endX:688 endY:207   [ErrorCode:0] [Line:408]
start X:688 startY:207 endX:772 endY:231   [ErrorCode:0] [Line:408]
start X:688 startY:207 endX:851 endY:262   [ErrorCode:0] [Line:408]
start X:851 startY:262 endX:904 endY:293   [ErrorCode:0] [Line:408]
start X:851 startY:262 endX:926 endY:318   [ErrorCode:0] [Line:408]
start X:904 startY:293 endX:934 endY:340   [ErrorCode:0] [Line:408]
start X:904 startY:293 endX:934 endY:370   [ErrorCode:0] [Line:408]
start X:934 startY:340 endX:914 endY:400   [ErrorCode:0] [Line:408]
start X:934 startY:370 endX:865 endY:429   [ErrorCode:0] [Line:408]
start X:934 startY:370 endX:792 endY:450   [ErrorCode:0] [Line:408]
start X:934 startY:370 endX:792 endY:450   [ErrorCode:0] [Line:408]
start X:914 startY:400 endX:705 endY:463   [ErrorCode:0] [Line:408]
start X:792 startY:450 endX:605 endY:463   [ErrorCode:0] [Line:408]
start X:792 startY:450 endX:496 endY:453   [ErrorCode:0] [Line:408]
start X:705 startY:463 endX:375 endY:420   [ErrorCode:0] [Line:408]
start X:705 startY:463 endX:375 endY:420   [ErrorCode:0] [Line:408]
start X:605 startY:463 endX:264 endY:383   [ErrorCode:0] [Line:408]
start X:496 startY:453 endX:179 endY:345   [ErrorCode:0] [Line:408]
start X:375 startY:420 endX:118 endY:309   [ErrorCode:0] [Line:408]
start X:375 startY:420 endX:89 endY:280   [ErrorCode:0] [Line:408]
