connect() error  [ErrorCode:10035] [Line:273]
start X:10 startY:21 endX:10 endY:21   [ErrorCode:0] [Line:414]
start X:10 startY:21 endX:11 endY:21   [ErrorCode:0] [Line:414]
start X:11 startY:21 endX:11 endY:21   [ErrorCode:0] [Line:414]
start X:11 startY:21 endX:12 endY:21   [ErrorCode:0] [Line:414]
start X:12 startY:21 endX:12 endY:21   [ErrorCode:0] [Line:414]
start X:12 startY:21 endX:13 endY:21   [ErrorCode:0] [Line:414]
start X:13 startY:21 endX:13 endY:21   [ErrorCode:0] [Line:414]
start X:13 startY:21 endX:13 endY:21   [ErrorCode:0] [Line:414]
start X:13 startY:21 endX:13 endY:21   [ErrorCode:0] [Line:414]
start X:13 startY:21 endX:13 endY:21   [ErrorCode:0] [Line:414]
start X:13 startY:21 endX:14 endY:21   [ErrorCode:0] [Line:414]
start X:13 startY:21 endX:15 endY:21   [ErrorCode:0] [Line:414]
start X:13 startY:21 endX:15 endY:21   [ErrorCode:0] [Line:414]
start X:14 startY:21 endX:16 endY:22   [ErrorCode:0] [Line:414]
start X:16 startY:22 endX:17 endY:22   [ErrorCode:0] [Line:414]
start X:17 startY:22 endX:18 endY:22   [ErrorCode:0] [Line:414]
start X:18 startY:22 endX:19 endY:22   [ErrorCode:0] [Line:414]
start X:19 startY:22 endX:20 endY:23   [ErrorCode:0] [Line:414]
start X:20 startY:23 endX:21 endY:24   [ErrorCode:0] [Line:414]
start X:21 startY:24 endX:22 endY:24   [ErrorCode:0] [Line:414]
start X:22 startY:24 endX:23 endY:25   [ErrorCode:0] [Line:414]
start X:23 startY:25 endX:24 endY:25   [ErrorCode:0] [Line:414]
start X:24 startY:25 endX:24 endY:26   [ErrorCode:0] [Line:414]
start X:24 startY:26 endX:25 endY:26   [ErrorCode:0] [Line:414]
start X:25 startY:26 endX:26 endY:27   [ErrorCode:0] [Line:414]
start X:25 startY:26 endX:26 endY:28   [ErrorCode:0] [Line:414]
start X:26 startY:28 endX:27 endY:28   [ErrorCode:0] [Line:414]
start X:27 startY:28 endX:27 endY:29   [ErrorCode:0] [Line:414]
start X:27 startY:28 endX:27 endY:30   [ErrorCode:0] [Line:414]
start X:27 startY:28 endX:27 endY:32   [ErrorCode:0] [Line:414]
start X:27 startY:30 endX:28 endY:32   [ErrorCode:0] [Line:414]
start X:28 startY:32 endX:28 endY:34   [ErrorCode:0] [Line:414]
start X:28 startY:32 endX:28 endY:36   [ErrorCode:0] [Line:414]
start X:28 startY:36 endX:28 endY:38   [ErrorCode:0] [Line:414]
start X:28 startY:36 endX:28 endY:39   [ErrorCode:0] [Line:414]
start X:28 startY:38 endX:28 endY:41   [ErrorCode:0] [Line:414]
start X:28 startY:39 endX:28 endY:42   [ErrorCode:0] [Line:414]
start X:28 startY:42 endX:26 endY:42   [ErrorCode:0] [Line:414]
start X:26 startY:42 endX:23 endY:42   [ErrorCode:0] [Line:414]
start X:23 startY:42 endX:23 endY:40   [ErrorCode:0] [Line:414]
start X:23 startY:40 endX:23 endY:37   [ErrorCode:0] [Line:414]
start X:23 startY:37 endX:23 endY:35   [ErrorCode:0] [Line:414]
start X:23 startY:37 endX:23 endY:34   [ErrorCode:0] [Line:414]
start X:23 startY:37 endX:24 endY:33   [ErrorCode:0] [Line:414]
start X:23 startY:34 endX:27 endY:33   [ErrorCode:0] [Line:414]
start X:27 startY:33 endX:31 endY:33   [ErrorCode:0] [Line:414]
start X:27 startY:33 endX:34 endY:32   [ErrorCode:0] [Line:414]
start X:34 startY:32 endX:38 endY:32   [ErrorCode:0] [Line:414]
start X:38 startY:32 endX:43 endY:32   [ErrorCode:0] [Line:414]
start X:38 startY:32 endX:48 endY:32   [ErrorCode:0] [Line:414]
start X:43 startY:32 endX:52 endY:32   [ErrorCode:0] [Line:414]
start X:52 startY:32 endX:55 endY:32   [ErrorCode:0] [Line:414]
start X:55 startY:32 endX:56 endY:32   [ErrorCode:0] [Line:414]
start X:55 startY:32 endX:57 endY:32   [ErrorCode:0] [Line:414]
start X:56 startY:32 endX:58 endY:32   [ErrorCode:0] [Line:414]
start X:57 startY:32 endX:58 endY:35   [ErrorCode:0] [Line:414]
start X:58 startY:32 endX:59 endY:37   [ErrorCode:0] [Line:414]
start X:59 startY:37 endX:60 endY:38   [ErrorCode:0] [Line:414]
start X:59 startY:37 endX:60 endY:41   [ErrorCode:0] [Line:414]
start X:60 startY:41 endX:60 endY:44   [ErrorCode:0] [Line:414]
start X:60 startY:41 endX:61 endY:47   [ErrorCode:0] [Line:414]
start X:61 startY:47 endX:61 endY:49   [ErrorCode:0] [Line:414]
start X:61 startY:47 endX:61 endY:52   [ErrorCode:0] [Line:414]
start X:61 startY:52 endX:61 endY:54   [ErrorCode:0] [Line:414]
start X:61 startY:54 endX:61 endY:57   [ErrorCode:0] [Line:414]
start X:61 startY:54 endX:58 endY:61   [ErrorCode:0] [Line:414]
start X:58 startY:61 endX:57 endY:62   [ErrorCode:0] [Line:414]
start X:57 startY:62 endX:55 endY:65   [ErrorCode:0] [Line:414]
start X:55 startY:65 endX:54 endY:65   [ErrorCode:0] [Line:414]
start X:55 startY:65 endX:53 endY:66   [ErrorCode:0] [Line:414]
start X:53 startY:66 endX:51 endY:66   [ErrorCode:0] [Line:414]
start X:51 startY:66 endX:50 endY:66   [ErrorCode:0] [Line:414]
start X:50 startY:66 endX:49 endY:66   [ErrorCode:0] [Line:414]
start X:50 startY:66 endX:48 endY:66   [ErrorCode:0] [Line:414]
start X:48 startY:66 endX:46 endY:66   [ErrorCode:0] [Line:414]
start X:46 startY:66 endX:46 endY:65   [ErrorCode:0] [Line:414]
start X:46 startY:66 endX:46 endY:64   [ErrorCode:0] [Line:414]
start X:46 startY:64 endX:46 endY:62   [ErrorCode:0] [Line:414]
start X:46 startY:62 endX:46 endY:61   [ErrorCode:0] [Line:414]
start X:46 startY:62 endX:46 endY:59   [ErrorCode:0] [Line:414]
start X:46 startY:59 endX:46 endY:57   [ErrorCode:0] [Line:414]
start X:46 startY:57 endX:49 endY:57   [ErrorCode:0] [Line:414]
start X:49 startY:57 endX:57 endY:57   [ErrorCode:0] [Line:414]
start X:49 startY:57 endX:63 endY:57   [ErrorCode:0] [Line:414]
start X:57 startY:57 endX:66 endY:57   [ErrorCode:0] [Line:414]
start X:66 startY:57 endX:70 endY:57   [ErrorCode:0] [Line:414]
start X:66 startY:57 endX:74 endY:59   [ErrorCode:0] [Line:414]
start X:70 startY:57 endX:75 endY:60   [ErrorCode:0] [Line:414]
start X:75 startY:60 endX:77 endY:61   [ErrorCode:0] [Line:414]
start X:75 startY:60 endX:78 endY:65   [ErrorCode:0] [Line:414]
start X:77 startY:61 endX:78 endY:67   [ErrorCode:0] [Line:414]
start X:78 startY:67 endX:78 endY:71   [ErrorCode:0] [Line:414]
start X:78 startY:67 endX:78 endY:74   [ErrorCode:0] [Line:414]
start X:78 startY:71 endX:78 endY:79   [ErrorCode:0] [Line:414]
start X:78 startY:79 endX:76 endY:82   [ErrorCode:0] [Line:414]
start X:78 startY:79 endX:70 endY:85   [ErrorCode:0] [Line:414]
start X:70 startY:85 endX:66 endY:88   [ErrorCode:0] [Line:414]
start X:70 startY:85 endX:61 endY:89   [ErrorCode:0] [Line:414]
start X:70 startY:85 endX:58 endY:89   [ErrorCode:0] [Line:414]
start X:66 startY:88 endX:54 endY:89   [ErrorCode:0] [Line:414]
start X:66 startY:88 endX:53 endY:89   [ErrorCode:0] [Line:414]
start X:58 startY:89 endX:52 endY:89   [ErrorCode:0] [Line:414]
start X:54 startY:89 endX:50 endY:89   [ErrorCode:0] [Line:414]
start X:53 startY:89 endX:49 endY:89   [ErrorCode:0] [Line:414]
start X:50 startY:89 endX:47 endY:85   [ErrorCode:0] [Line:414]
start X:49 startY:89 endX:45 endY:78   [ErrorCode:0] [Line:414]
start X:47 startY:85 endX:45 endY:71   [ErrorCode:0] [Line:414]
start X:45 startY:78 endX:45 endY:67   [ErrorCode:0] [Line:414]
start X:45 startY:71 endX:46 endY:64   [ErrorCode:0] [Line:414]
start X:45 startY:67 endX:50 endY:61   [ErrorCode:0] [Line:414]
start X:46 startY:64 endX:53 endY:58   [ErrorCode:0] [Line:414]
start X:50 startY:61 endX:58 endY:58   [ErrorCode:0] [Line:414]
start X:53 startY:58 endX:63 endY:58   [ErrorCode:0] [Line:414]
start X:53 startY:58 endX:67 endY:58   [ErrorCode:0] [Line:414]
start X:63 startY:58 endX:71 endY:58   [ErrorCode:0] [Line:414]
start X:63 startY:58 endX:74 endY:60   [ErrorCode:0] [Line:414]
start X:71 startY:58 endX:75 endY:61   [ErrorCode:0] [Line:414]
start X:74 startY:60 endX:75 endY:64   [ErrorCode:0] [Line:414]
start X:74 startY:60 endX:75 endY:67   [ErrorCode:0] [Line:414]
start X:75 startY:61 endX:75 endY:71   [ErrorCode:0] [Line:414]
start X:75 startY:64 endX:75 endY:73   [ErrorCode:0] [Line:414]
start X:75 startY:71 endX:74 endY:75   [ErrorCode:0] [Line:414]
start X:75 startY:71 endX:74 endY:77   [ErrorCode:0] [Line:414]
start X:74 startY:75 endX:72 endY:78   [ErrorCode:0] [Line:414]
start X:74 startY:75 endX:71 endY:78   [ErrorCode:0] [Line:414]
start X:72 startY:78 endX:69 endY:78   [ErrorCode:0] [Line:414]
start X:72 startY:78 endX:68 endY:78   [ErrorCode:0] [Line:414]
start X:69 startY:78 endX:66 endY:78   [ErrorCode:0] [Line:414]
start X:69 startY:78 endX:64 endY:78   [ErrorCode:0] [Line:414]
start X:68 startY:78 endX:62 endY:77   [ErrorCode:0] [Line:414]
start X:64 startY:78 endX:60 endY:74   [ErrorCode:0] [Line:414]
start X:64 startY:78 endX:58 endY:65   [ErrorCode:0] [Line:414]
start X:60 startY:74 endX:58 endY:59   [ErrorCode:0] [Line:414]
start X:58 startY:65 endX:56 endY:50   [ErrorCode:0] [Line:414]
start X:58 startY:59 endX:56 endY:46   [ErrorCode:0] [Line:414]
start X:58 startY:59 endX:56 endY:45   [ErrorCode:0] [Line:414]
start X:56 startY:46 endX:60 endY:44   [ErrorCode:0] [Line:414]
start X:56 startY:45 endX:68 endY:44   [ErrorCode:0] [Line:414]
start X:60 startY:44 endX:75 endY:44   [ErrorCode:0] [Line:414]
start X:68 startY:44 endX:84 endY:46   [ErrorCode:0] [Line:414]
start X:75 startY:44 endX:93 endY:52   [ErrorCode:0] [Line:414]
start X:84 startY:46 endX:101 endY:59   [ErrorCode:0] [Line:414]
start X:84 startY:46 endX:106 endY:67   [ErrorCode:0] [Line:414]
start X:101 startY:59 endX:108 endY:72   [ErrorCode:0] [Line:414]
start X:106 startY:67 endX:109 endY:80   [ErrorCode:0] [Line:414]
start X:108 startY:72 endX:109 endY:85   [ErrorCode:0] [Line:414]
start X:109 startY:80 endX:109 endY:89   [ErrorCode:0] [Line:414]
start X:109 startY:80 endX:105 endY:93   [ErrorCode:0] [Line:414]
start X:109 startY:89 endX:97 endY:96   [ErrorCode:0] [Line:414]
start X:109 startY:89 endX:91 endY:97   [ErrorCode:0] [Line:414]
start X:105 startY:93 endX:82 endY:97   [ErrorCode:0] [Line:414]
start X:105 startY:93 endX:78 endY:97   [ErrorCode:0] [Line:414]
start X:91 startY:97 endX:72 endY:96   [ErrorCode:0] [Line:414]
start X:82 startY:97 endX:69 endY:94   [ErrorCode:0] [Line:414]
start X:72 startY:96 endX:65 endY:90   [ErrorCode:0] [Line:414]
start X:72 startY:96 endX:62 endY:87   [ErrorCode:0] [Line:414]
start X:65 startY:90 endX:59 endY:82   [ErrorCode:0] [Line:414]
start X:65 startY:90 endX:57 endY:76   [ErrorCode:0] [Line:414]
start X:59 startY:82 endX:55 endY:68   [ErrorCode:0] [Line:414]
start X:59 startY:82 endX:54 endY:61   [ErrorCode:0] [Line:414]
start X:57 startY:76 endX:54 endY:57   [ErrorCode:0] [Line:414]
start X:54 startY:61 endX:55 endY:53   [ErrorCode:0] [Line:414]
start X:54 startY:61 endX:57 endY:51   [ErrorCode:0] [Line:414]
start X:55 startY:53 endX:59 endY:50   [ErrorCode:0] [Line:414]
start X:55 startY:53 endX:66 endY:49   [ErrorCode:0] [Line:414]
start X:59 startY:50 endX:73 endY:49   [ErrorCode:0] [Line:414]
start X:59 startY:50 endX:82 endY:49   [ErrorCode:0] [Line:414]
start X:66 startY:49 endX:90 endY:51   [ErrorCode:0] [Line:414]
start X:73 startY:49 endX:95 endY:54   [ErrorCode:0] [Line:414]
start X:90 startY:51 endX:100 endY:59   [ErrorCode:0] [Line:414]
start X:95 startY:54 endX:102 endY:60   [ErrorCode:0] [Line:414]
start X:95 startY:54 endX:103 endY:63   [ErrorCode:0] [Line:414]
start X:95 startY:54 endX:103 endY:67   [ErrorCode:0] [Line:414]
start X:102 startY:60 endX:103 endY:69   [ErrorCode:0] [Line:414]
start X:103 startY:63 endX:103 endY:72   [ErrorCode:0] [Line:414]
start X:103 startY:69 endX:103 endY:74   [ErrorCode:0] [Line:414]
start X:103 startY:69 endX:102 endY:76   [ErrorCode:0] [Line:414]
start X:103 startY:72 endX:99 endY:78   [ErrorCode:0] [Line:414]
start X:103 startY:74 endX:96 endY:79   [ErrorCode:0] [Line:414]
start X:99 startY:78 endX:90 endY:82   [ErrorCode:0] [Line:414]
start X:99 startY:78 endX:86 endY:82   [ErrorCode:0] [Line:414]
start X:96 startY:79 endX:82 endY:82   [ErrorCode:0] [Line:414]
start X:90 startY:82 endX:77 endY:83   [ErrorCode:0] [Line:414]
start X:90 startY:82 endX:75 endY:83   [ErrorCode:0] [Line:414]
start X:82 startY:82 endX:72 endY:83   [ErrorCode:0] [Line:414]
start X:75 startY:83 endX:69 endY:82   [ErrorCode:0] [Line:414]
start X:72 startY:83 endX:69 endY:78   [ErrorCode:0] [Line:414]
start X:72 startY:83 endX:69 endY:75   [ErrorCode:0] [Line:414]
start X:69 startY:82 endX:69 endY:72   [ErrorCode:0] [Line:414]
start X:69 startY:75 endX:69 endY:70   [ErrorCode:0] [Line:414]
start X:69 startY:72 endX:71 endY:68   [ErrorCode:0] [Line:414]
start X:69 startY:70 endX:74 endY:66   [ErrorCode:0] [Line:414]
start X:71 startY:68 endX:80 endY:66   [ErrorCode:0] [Line:414]
start X:74 startY:66 endX:87 endY:64   [ErrorCode:0] [Line:414]
start X:74 startY:66 endX:96 endY:64   [ErrorCode:0] [Line:414]
start X:87 startY:64 endX:102 endY:64   [ErrorCode:0] [Line:414]
start X:87 startY:64 endX:108 endY:66   [ErrorCode:0] [Line:414]
start X:87 startY:64 endX:115 endY:69   [ErrorCode:0] [Line:414]
start X:102 startY:64 endX:118 endY:70   [ErrorCode:0] [Line:414]
start X:108 startY:66 endX:121 endY:72   [ErrorCode:0] [Line:414]
start X:118 startY:70 endX:121 endY:73   [ErrorCode:0] [Line:414]
start X:121 startY:72 endX:121 endY:76   [ErrorCode:0] [Line:414]
start X:121 startY:73 endX:121 endY:78   [ErrorCode:0] [Line:414]
start X:121 startY:76 endX:121 endY:79   [ErrorCode:0] [Line:414]
start X:121 startY:76 endX:121 endY:82   [ErrorCode:0] [Line:414]
start X:121 startY:79 endX:121 endY:84   [ErrorCode:0] [Line:414]
start X:121 startY:82 endX:121 endY:85   [ErrorCode:0] [Line:414]
start X:121 startY:84 endX:121 endY:86   [ErrorCode:0] [Line:414]
start X:121 startY:86 endX:124 endY:89   [ErrorCode:0] [Line:414]
start X:121 startY:86 endX:125 endY:90   [ErrorCode:0] [Line:414]
start X:125 startY:90 endX:128 endY:93   [ErrorCode:0] [Line:414]
start X:125 startY:90 endX:129 endY:97   [ErrorCode:0] [Line:414]
start X:128 startY:93 endX:130 endY:101   [ErrorCode:0] [Line:414]
start X:129 startY:97 endX:133 endY:107   [ErrorCode:0] [Line:414]
start X:133 startY:107 endX:134 endY:110   [ErrorCode:0] [Line:414]
