connect() error  [ErrorCode:10035] [Line:275]
start X:167 startY:102 endX:167 endY:101   [ErrorCode:0] [Line:416]
start X:167 startY:102 endX:170 endY:100   [ErrorCode:0] [Line:416]
start X:167 startY:101 endX:182 endY:100   [ErrorCode:0] [Line:416]
start X:170 startY:100 endX:194 endY:100   [ErrorCode:0] [Line:416]
start X:170 startY:100 endX:209 endY:100   [ErrorCode:0] [Line:416]
start X:182 startY:100 endX:232 endY:105   [ErrorCode:0] [Line:416]
start X:209 startY:100 endX:263 endY:117   [ErrorCode:0] [Line:416]
start X:209 startY:100 endX:282 endY:132   [ErrorCode:0] [Line:416]
start X:263 startY:117 endX:295 endY:145   [ErrorCode:0] [Line:416]
start X:263 startY:117 endX:301 endY:155   [ErrorCode:0] [Line:416]
start X:282 startY:132 endX:304 endY:166   [ErrorCode:0] [Line:416]
start X:304 startY:166 endX:304 endY:177   [ErrorCode:0] [Line:416]
start X:304 startY:166 endX:304 endY:188   [ErrorCode:0] [Line:416]
start X:304 startY:166 endX:297 endY:199   [ErrorCode:0] [Line:416]
start X:304 startY:166 endX:285 endY:211   [ErrorCode:0] [Line:416]
start X:304 startY:166 endX:264 endY:224   [ErrorCode:0] [Line:416]
start X:304 startY:177 endX:251 endY:228   [ErrorCode:0] [Line:416]
start X:304 startY:188 endX:235 endY:229   [ErrorCode:0] [Line:416]
start X:251 startY:228 endX:216 endY:229   [ErrorCode:0] [Line:416]
start X:251 startY:228 endX:197 endY:229   [ErrorCode:0] [Line:416]
start X:251 startY:228 endX:178 endY:226   [ErrorCode:0] [Line:416]
start X:235 startY:229 endX:161 endY:220   [ErrorCode:0] [Line:416]
start X:197 startY:229 endX:147 endY:211   [ErrorCode:0] [Line:416]
start X:161 startY:220 endX:134 endY:202   [ErrorCode:0] [Line:416]
start X:161 startY:220 endX:122 endY:195   [ErrorCode:0] [Line:416]
start X:134 startY:202 endX:115 endY:187   [ErrorCode:0] [Line:416]
start X:134 startY:202 endX:108 endY:174   [ErrorCode:0] [Line:416]
start X:122 startY:195 endX:102 endY:162   [ErrorCode:0] [Line:416]
start X:115 startY:187 endX:99 endY:151   [ErrorCode:0] [Line:416]
start X:108 startY:174 endX:99 endY:143   [ErrorCode:0] [Line:416]
start X:99 startY:151 endX:103 endY:141   [ErrorCode:0] [Line:416]
start X:99 startY:143 endX:113 endY:140   [ErrorCode:0] [Line:416]
start X:99 startY:143 endX:135 endY:140   [ErrorCode:0] [Line:416]
start X:99 startY:143 endX:165 endY:146   [ErrorCode:0] [Line:416]
start X:113 startY:140 endX:202 endY:164   [ErrorCode:0] [Line:416]
start X:135 startY:140 endX:227 endY:184   [ErrorCode:0] [Line:416]
start X:165 startY:146 endX:240 endY:201   [ErrorCode:0] [Line:416]
start X:202 startY:164 endX:247 endY:216   [ErrorCode:0] [Line:416]
start X:227 startY:184 endX:248 endY:227   [ErrorCode:0] [Line:416]
start X:227 startY:184 endX:248 endY:227   [ErrorCode:0] [Line:416]
start X:227 startY:184 endX:248 endY:242   [ErrorCode:0] [Line:416]
start X:227 startY:184 endX:245 endY:254   [ErrorCode:0] [Line:416]
start X:240 startY:201 endX:233 endY:266   [ErrorCode:0] [Line:416]
start X:248 startY:242 endX:214 endY:276   [ErrorCode:0] [Line:416]
start X:245 startY:254 endX:195 endY:281   [ErrorCode:0] [Line:416]
start X:233 startY:266 endX:178 endY:283   [ErrorCode:0] [Line:416]
start X:233 startY:266 endX:164 endY:283   [ErrorCode:0] [Line:416]
start X:214 startY:276 endX:148 endY:279   [ErrorCode:0] [Line:416]
start X:195 startY:281 endX:140 endY:274   [ErrorCode:0] [Line:416]
start X:164 startY:283 endX:136 endY:269   [ErrorCode:0] [Line:416]
start X:148 startY:279 endX:133 endY:262   [ErrorCode:0] [Line:416]
start X:136 startY:269 endX:133 endY:256   [ErrorCode:0] [Line:416]
start X:133 startY:262 endX:132 endY:249   [ErrorCode:0] [Line:416]
start X:133 startY:256 endX:130 endY:238   [ErrorCode:0] [Line:416]
start X:133 startY:256 endX:130 endY:227   [ErrorCode:0] [Line:416]
start X:133 startY:256 endX:130 endY:210   [ErrorCode:0] [Line:416]
start X:132 startY:249 endX:139 endY:187   [ErrorCode:0] [Line:416]
start X:130 startY:238 endX:160 endY:186   [ErrorCode:0] [Line:416]
start X:130 startY:227 endX:187 endY:186   [ErrorCode:0] [Line:416]
start X:130 startY:210 endX:230 endY:194   [ErrorCode:0] [Line:416]
start X:160 startY:186 endX:242 endY:213   [ErrorCode:0] [Line:416]
start X:187 startY:186 endX:246 endY:225   [ErrorCode:0] [Line:416]
start X:187 startY:186 endX:247 endY:238   [ErrorCode:0] [Line:416]
start X:230 startY:194 endX:245 endY:253   [ErrorCode:0] [Line:416]
start X:242 startY:213 endX:228 endY:276   [ErrorCode:0] [Line:416]
start X:246 startY:225 endX:217 endY:282   [ErrorCode:0] [Line:416]
start X:247 startY:238 endX:196 endY:283   [ErrorCode:0] [Line:416]
start X:245 startY:253 endX:185 endY:283   [ErrorCode:0] [Line:416]
start X:228 startY:276 endX:169 endY:278   [ErrorCode:0] [Line:416]
start X:217 startY:282 endX:144 endY:261   [ErrorCode:0] [Line:416]
start X:196 startY:283 endX:130 endY:249   [ErrorCode:0] [Line:416]
start X:185 startY:283 endX:114 endY:229   [ErrorCode:0] [Line:416]
start X:169 startY:278 endX:111 endY:215   [ErrorCode:0] [Line:416]
start X:144 startY:261 endX:106 endY:200   [ErrorCode:0] [Line:416]
start X:144 startY:261 endX:104 endY:180   [ErrorCode:0] [Line:416]
start X:130 startY:249 endX:104 endY:163   [ErrorCode:0] [Line:416]
start X:104 startY:180 endX:112 endY:155   [ErrorCode:0] [Line:416]
start X:104 startY:180 endX:133 endY:153   [ErrorCode:0] [Line:416]
start X:112 startY:155 endX:165 endY:153   [ErrorCode:0] [Line:416]
start X:112 startY:155 endX:206 endY:165   [ErrorCode:0] [Line:416]
start X:133 startY:153 endX:239 endY:177   [ErrorCode:0] [Line:416]
start X:133 startY:153 endX:260 endY:196   [ErrorCode:0] [Line:416]
start X:165 startY:153 endX:272 endY:211   [ErrorCode:0] [Line:416]
start X:206 startY:165 endX:279 endY:222   [ErrorCode:0] [Line:416]
start X:239 startY:177 endX:281 endY:234   [ErrorCode:0] [Line:416]
start X:260 startY:196 endX:282 endY:245   [ErrorCode:0] [Line:416]
start X:272 startY:211 endX:282 endY:260   [ErrorCode:0] [Line:416]
start X:281 startY:234 endX:273 endY:268   [ErrorCode:0] [Line:416]
start X:282 startY:245 endX:263 endY:274   [ErrorCode:0] [Line:416]
start X:282 startY:245 endX:263 endY:274   [ErrorCode:0] [Line:416]
start X:282 startY:260 endX:251 endY:277   [ErrorCode:0] [Line:416]
