connect() error  [ErrorCode:10035] [Line:273]
start X:27 startY:22 endX:27 endY:22   [ErrorCode:0] [Line:414]
start X:27 startY:22 endX:29 endY:22   [ErrorCode:0] [Line:414]
start X:27 startY:22 endX:29 endY:22   [ErrorCode:0] [Line:414]
start X:29 startY:22 endX:30 endY:22   [ErrorCode:0] [Line:414]
start X:29 startY:22 endX:31 endY:22   [ErrorCode:0] [Line:414]
start X:31 startY:22 endX:32 endY:22   [ErrorCode:0] [Line:414]
start X:31 startY:22 endX:32 endY:22   [ErrorCode:0] [Line:414]
start X:32 startY:22 endX:33 endY:23   [ErrorCode:0] [Line:414]
start X:33 startY:23 endX:35 endY:23   [ErrorCode:0] [Line:414]
start X:35 startY:23 endX:37 endY:25   [ErrorCode:0] [Line:414]
start X:35 startY:23 endX:38 endY:26   [ErrorCode:0] [Line:414]
start X:35 startY:23 endX:39 endY:26   [ErrorCode:0] [Line:414]
start X:38 startY:26 endX:39 endY:26   [ErrorCode:0] [Line:414]
start X:38 startY:26 endX:40 endY:26   [ErrorCode:0] [Line:414]
start X:39 startY:26 endX:41 endY:26   [ErrorCode:0] [Line:414]
start X:41 startY:26 endX:42 endY:26   [ErrorCode:0] [Line:414]
start X:42 startY:26 endX:44 endY:27   [ErrorCode:0] [Line:414]
start X:42 startY:26 endX:45 endY:27   [ErrorCode:0] [Line:414]
start X:45 startY:27 endX:45 endY:27   [ErrorCode:0] [Line:414]
start X:45 startY:27 endX:48 endY:28   [ErrorCode:0] [Line:414]
start X:48 startY:28 endX:49 endY:29   [ErrorCode:0] [Line:414]
start X:48 startY:28 endX:50 endY:29   [ErrorCode:0] [Line:414]
start X:49 startY:29 endX:50 endY:29   [ErrorCode:0] [Line:414]
start X:50 startY:29 endX:50 endY:29   [ErrorCode:0] [Line:414]
start X:50 startY:29 endX:50 endY:29   [ErrorCode:0] [Line:414]
start X:50 startY:29 endX:50 endY:29   [ErrorCode:0] [Line:414]
start X:50 startY:29 endX:50 endY:29   [ErrorCode:0] [Line:414]
start X:50 startY:29 endX:50 endY:28   [ErrorCode:0] [Line:414]
start X:50 startY:29 endX:50 endY:25   [ErrorCode:0] [Line:414]
start X:50 startY:28 endX:52 endY:21   [ErrorCode:0] [Line:414]
start X:50 startY:28 endX:54 endY:20   [ErrorCode:0] [Line:414]
start X:50 startY:25 endX:57 endY:17   [ErrorCode:0] [Line:414]
start X:52 startY:21 endX:60 endY:16   [ErrorCode:0] [Line:414]
start X:57 startY:17 endX:63 endY:15   [ErrorCode:0] [Line:414]
start X:57 startY:17 endX:63 endY:14   [ErrorCode:0] [Line:414]
start X:63 startY:14 endX:65 endY:14   [ErrorCode:0] [Line:414]
start X:65 startY:14 endX:66 endY:14   [ErrorCode:0] [Line:414]
start X:65 startY:14 endX:68 endY:14   [ErrorCode:0] [Line:414]
start X:65 startY:14 endX:69 endY:14   [ErrorCode:0] [Line:414]
start X:66 startY:14 endX:70 endY:17   [ErrorCode:0] [Line:414]
start X:69 startY:14 endX:70 endY:18   [ErrorCode:0] [Line:414]
start X:70 startY:18 endX:72 endY:21   [ErrorCode:0] [Line:414]
start X:70 startY:18 endX:72 endY:22   [ErrorCode:0] [Line:414]
start X:70 startY:18 endX:72 endY:25   [ErrorCode:0] [Line:414]
start X:72 startY:21 endX:72 endY:28   [ErrorCode:0] [Line:414]
start X:72 startY:25 endX:72 endY:30   [ErrorCode:0] [Line:414]
start X:72 startY:30 endX:71 endY:33   [ErrorCode:0] [Line:414]
start X:71 startY:33 endX:70 endY:34   [ErrorCode:0] [Line:414]
start X:70 startY:34 endX:68 endY:36   [ErrorCode:0] [Line:414]
start X:70 startY:34 endX:66 endY:37   [ErrorCode:0] [Line:414]
start X:66 startY:37 endX:65 endY:37   [ErrorCode:0] [Line:414]
start X:65 startY:37 endX:63 endY:37   [ErrorCode:0] [Line:414]
start X:63 startY:37 endX:62 endY:37   [ErrorCode:0] [Line:414]
start X:62 startY:37 endX:61 endY:37   [ErrorCode:0] [Line:414]
start X:61 startY:37 endX:60 endY:37   [ErrorCode:0] [Line:414]
start X:61 startY:37 endX:59 endY:37   [ErrorCode:0] [Line:414]
start X:59 startY:37 endX:59 endY:36   [ErrorCode:0] [Line:414]
start X:59 startY:36 endX:59 endY:35   [ErrorCode:0] [Line:414]
start X:59 startY:35 endX:59 endY:34   [ErrorCode:0] [Line:414]
start X:59 startY:34 endX:59 endY:33   [ErrorCode:0] [Line:414]
start X:59 startY:33 endX:58 endY:33   [ErrorCode:0] [Line:414]
start X:58 startY:33 endX:56 endY:33   [ErrorCode:0] [Line:414]
start X:56 startY:33 endX:54 endY:33   [ErrorCode:0] [Line:414]
start X:56 startY:33 endX:52 endY:32   [ErrorCode:0] [Line:414]
start X:52 startY:32 endX:50 endY:32   [ErrorCode:0] [Line:414]
start X:52 startY:32 endX:45 endY:31   [ErrorCode:0] [Line:414]
start X:45 startY:31 endX:43 endY:31   [ErrorCode:0] [Line:414]
start X:43 startY:31 endX:40 endY:31   [ErrorCode:0] [Line:414]
start X:40 startY:31 endX:37 endY:30   [ErrorCode:0] [Line:414]
start X:40 startY:31 endX:35 endY:30   [ErrorCode:0] [Line:414]
start X:37 startY:30 endX:34 endY:30   [ErrorCode:0] [Line:414]
start X:35 startY:30 endX:32 endY:29   [ErrorCode:0] [Line:414]
start X:34 startY:30 endX:31 endY:29   [ErrorCode:0] [Line:414]
start X:31 startY:29 endX:30 endY:29   [ErrorCode:0] [Line:414]
start X:31 startY:29 endX:29 endY:29   [ErrorCode:0] [Line:414]
start X:30 startY:29 endX:28 endY:29   [ErrorCode:0] [Line:414]
start X:28 startY:29 endX:26 endY:28   [ErrorCode:0] [Line:414]
start X:26 startY:28 endX:26 endY:27   [ErrorCode:0] [Line:414]
start X:26 startY:27 endX:25 endY:27   [ErrorCode:0] [Line:414]
start X:25 startY:27 endX:25 endY:26   [ErrorCode:0] [Line:414]
start X:25 startY:26 endX:25 endY:25   [ErrorCode:0] [Line:414]
start X:25 startY:26 endX:25 endY:24   [ErrorCode:0] [Line:414]
start X:25 startY:24 endX:26 endY:24   [ErrorCode:0] [Line:414]
start X:25 startY:24 endX:27 endY:24   [ErrorCode:0] [Line:414]
