connect() error  [ErrorCode:10035] [Line:280]
start X:0 startY:0 endX:350 endY:172   [ErrorCode:0] [Line:420]
start X:350 startY:172 endX:350 endY:167   [ErrorCode:0] [Line:420]
start X:350 startY:167 endX:350 endY:162   [ErrorCode:0] [Line:420]
start X:350 startY:162 endX:351 endY:154   [ErrorCode:0] [Line:420]
start X:351 startY:154 endX:356 endY:146   [ErrorCode:0] [Line:420]
start X:356 startY:146 endX:361 endY:140   [ErrorCode:0] [Line:420]
start X:361 startY:140 endX:366 endY:134   [ErrorCode:0] [Line:420]
start X:366 startY:134 endX:372 endY:130   [ErrorCode:0] [Line:420]
start X:372 startY:130 endX:380 endY:127   [ErrorCode:0] [Line:420]
start X:380 startY:127 endX:390 endY:126   [ErrorCode:0] [Line:420]
start X:390 startY:126 endX:403 endY:126   [ErrorCode:0] [Line:420]
start X:403 startY:126 endX:421 endY:126   [ErrorCode:0] [Line:420]
start X:421 startY:126 endX:438 endY:126   [ErrorCode:0] [Line:420]
start X:438 startY:126 endX:468 endY:134   [ErrorCode:0] [Line:420]
start X:468 startY:134 endX:496 endY:146   [ErrorCode:0] [Line:420]
start X:496 startY:146 endX:520 endY:157   [ErrorCode:0] [Line:420]
start X:520 startY:157 endX:539 endY:172   [ErrorCode:0] [Line:420]
start X:539 startY:172 endX:554 endY:186   [ErrorCode:0] [Line:420]
start X:554 startY:186 endX:561 endY:197   [ErrorCode:0] [Line:420]
start X:561 startY:197 endX:564 endY:209   [ErrorCode:0] [Line:420]
start X:564 startY:209 endX:565 endY:221   [ErrorCode:0] [Line:420]
start X:565 startY:221 endX:565 endY:234   [ErrorCode:0] [Line:420]
start X:565 startY:234 endX:565 endY:249   [ErrorCode:0] [Line:420]
start X:565 startY:249 endX:559 endY:263   [ErrorCode:0] [Line:420]
start X:559 startY:263 endX:552 endY:276   [ErrorCode:0] [Line:420]
start X:552 startY:276 endX:545 endY:286   [ErrorCode:0] [Line:420]
start X:545 startY:286 endX:537 endY:295   [ErrorCode:0] [Line:420]
start X:537 startY:295 endX:527 endY:300   [ErrorCode:0] [Line:420]
start X:527 startY:300 endX:512 endY:304   [ErrorCode:0] [Line:420]
start X:512 startY:304 endX:499 endY:307   [ErrorCode:0] [Line:420]
start X:499 startY:307 endX:483 endY:307   [ErrorCode:0] [Line:420]
start X:483 startY:307 endX:470 endY:307   [ErrorCode:0] [Line:420]
start X:470 startY:307 endX:455 endY:305   [ErrorCode:0] [Line:420]
start X:455 startY:305 endX:442 endY:297   [ErrorCode:0] [Line:420]
start X:442 startY:297 endX:432 endY:288   [ErrorCode:0] [Line:420]
start X:432 startY:288 endX:424 endY:281   [ErrorCode:0] [Line:420]
