connect() error  [ErrorCode:10035] [Line:280]
start X:287 startY:148 endX:287 endY:141   [ErrorCode:1400] [Line:420]
start X:287 startY:141 endX:289 endY:133   [ErrorCode:0] [Line:420]
start X:289 startY:133 endX:298 endY:125   [ErrorCode:0] [Line:420]
start X:298 startY:125 endX:316 endY:119   [ErrorCode:0] [Line:420]
start X:316 startY:119 endX:334 endY:115   [ErrorCode:0] [Line:420]
start X:334 startY:115 endX:362 endY:113   [ErrorCode:0] [Line:420]
start X:362 startY:113 endX:400 endY:113   [ErrorCode:0] [Line:420]
start X:400 startY:113 endX:455 endY:116   [ErrorCode:0] [Line:420]
start X:455 startY:116 endX:522 endY:135   [ErrorCode:0] [Line:420]
start X:522 startY:135 endX:522 endY:135   [ErrorCode:0] [Line:420]
start X:522 startY:135 endX:672 endY:189   [ErrorCode:0] [Line:420]
start X:672 startY:189 endX:736 endY:223   [ErrorCode:0] [Line:420]
start X:736 startY:223 endX:801 endY:281   [ErrorCode:0] [Line:420]
start X:801 startY:281 endX:809 endY:310   [ErrorCode:0] [Line:420]
start X:809 startY:310 endX:795 endY:357   [ErrorCode:0] [Line:420]
start X:795 startY:357 endX:761 endY:385   [ErrorCode:0] [Line:420]
start X:761 startY:385 endX:709 endY:407   [ErrorCode:0] [Line:420]
start X:709 startY:407 endX:649 endY:423   [ErrorCode:0] [Line:420]
start X:649 startY:423 endX:576 endY:428   [ErrorCode:0] [Line:420]
start X:576 startY:428 endX:506 endY:428   [ErrorCode:0] [Line:420]
start X:506 startY:428 endX:440 endY:425   [ErrorCode:0] [Line:420]
start X:440 startY:425 endX:367 endY:403   [ErrorCode:0] [Line:420]
start X:367 startY:403 endX:302 endY:378   [ErrorCode:0] [Line:420]
start X:302 startY:378 endX:246 endY:347   [ErrorCode:0] [Line:420]
start X:246 startY:347 endX:205 endY:320   [ErrorCode:0] [Line:420]
start X:205 startY:320 endX:187 endY:301   [ErrorCode:0] [Line:420]
start X:187 startY:301 endX:180 endY:284   [ErrorCode:0] [Line:420]
start X:180 startY:284 endX:177 endY:264   [ErrorCode:0] [Line:420]
