connect() error  [ErrorCode:10035] [Line:273]
start X:548 startY:255 endX:548 endY:251   [ErrorCode:0] [Line:414]
start X:548 startY:255 endX:548 endY:245   [ErrorCode:0] [Line:414]
start X:548 startY:251 endX:548 endY:240   [ErrorCode:0] [Line:414]
start X:548 startY:245 endX:552 endY:226   [ErrorCode:0] [Line:414]
start X:548 startY:245 endX:556 endY:220   [ErrorCode:0] [Line:414]
start X:548 startY:240 endX:561 endY:215   [ErrorCode:0] [Line:414]
start X:552 startY:226 endX:565 endY:210   [ErrorCode:0] [Line:414]
start X:556 startY:220 endX:581 endY:205   [ErrorCode:0] [Line:414]
start X:561 startY:215 endX:586 endY:205   [ErrorCode:0] [Line:414]
start X:565 startY:210 endX:595 endY:205   [ErrorCode:0] [Line:414]
start X:581 startY:205 endX:614 endY:207   [ErrorCode:0] [Line:414]
start X:595 startY:205 endX:624 endY:211   [ErrorCode:0] [Line:414]
start X:614 startY:207 endX:630 endY:217   [ErrorCode:0] [Line:414]
start X:614 startY:207 endX:635 endY:221   [ErrorCode:0] [Line:414]
start X:624 startY:211 endX:638 endY:226   [ErrorCode:0] [Line:414]
start X:630 startY:217 endX:639 endY:232   [ErrorCode:0] [Line:414]
start X:635 startY:221 endX:639 endY:237   [ErrorCode:0] [Line:414]
start X:638 startY:226 endX:638 endY:252   [ErrorCode:0] [Line:414]
start X:639 startY:232 endX:632 endY:258   [ErrorCode:0] [Line:414]
start X:639 startY:237 endX:624 endY:264   [ErrorCode:0] [Line:414]
start X:638 startY:252 endX:613 endY:268   [ErrorCode:0] [Line:414]
start X:624 startY:264 endX:603 endY:268   [ErrorCode:0] [Line:414]
start X:624 startY:264 endX:589 endY:268   [ErrorCode:0] [Line:414]
start X:613 startY:268 endX:578 endY:268   [ErrorCode:0] [Line:414]
start X:613 startY:268 endX:567 endY:268   [ErrorCode:0] [Line:414]
start X:603 startY:268 endX:557 endY:264   [ErrorCode:0] [Line:414]
start X:589 startY:268 endX:550 endY:258   [ErrorCode:0] [Line:414]
start X:578 startY:268 endX:543 endY:250   [ErrorCode:0] [Line:414]
start X:567 startY:268 endX:540 endY:241   [ErrorCode:0] [Line:414]
start X:557 startY:264 endX:538 endY:233   [ErrorCode:0] [Line:414]
start X:550 startY:258 endX:537 endY:224   [ErrorCode:0] [Line:414]
start X:538 startY:233 endX:537 endY:218   [ErrorCode:0] [Line:414]
start X:537 startY:224 endX:537 endY:210   [ErrorCode:0] [Line:414]
start X:537 startY:218 endX:537 endY:205   [ErrorCode:0] [Line:414]
start X:537 startY:210 endX:539 endY:198   [ErrorCode:0] [Line:414]
start X:537 startY:210 endX:547 endY:190   [ErrorCode:0] [Line:414]
start X:537 startY:205 endX:554 endY:185   [ErrorCode:0] [Line:414]
start X:539 startY:198 endX:562 endY:182   [ErrorCode:0] [Line:414]
start X:547 startY:190 endX:573 endY:178   [ErrorCode:0] [Line:414]
start X:554 startY:185 endX:584 endY:178   [ErrorCode:0] [Line:414]
start X:573 startY:178 endX:597 endY:178   [ErrorCode:0] [Line:414]
start X:584 startY:178 endX:616 endY:185   [ErrorCode:0] [Line:414]
start X:584 startY:178 endX:621 endY:190   [ErrorCode:0] [Line:414]
start X:597 startY:178 endX:625 endY:198   [ErrorCode:0] [Line:414]
