connect() error  [ErrorCode:10035] [Line:276]
start X:132 startY:85 endX:137 endY:84   [ErrorCode:0] [Line:417]
start X:132 startY:85 endX:143 endY:82   [ErrorCode:0] [Line:417]
start X:132 startY:85 endX:148 endY:81   [ErrorCode:0] [Line:417]
start X:143 startY:82 endX:154 endY:79   [ErrorCode:0] [Line:417]
start X:148 startY:81 endX:161 endY:78   [ErrorCode:0] [Line:417]
start X:154 startY:79 endX:165 endY:76   [ErrorCode:0] [Line:417]
start X:161 startY:78 endX:171 endY:75   [ErrorCode:0] [Line:417]
start X:165 startY:76 endX:178 endY:72   [ErrorCode:0] [Line:417]
start X:178 startY:72 endX:179 endY:72   [ErrorCode:0] [Line:417]
start X:178 startY:72 endX:180 endY:72   [ErrorCode:0] [Line:417]
start X:178 startY:72 endX:180 endY:72   [ErrorCode:0] [Line:417]
start X:180 startY:72 endX:181 endY:72   [ErrorCode:0] [Line:417]
start X:180 startY:72 endX:183 endY:73   [ErrorCode:0] [Line:417]
start X:181 startY:72 endX:184 endY:79   [ErrorCode:0] [Line:417]
start X:181 startY:72 endX:188 endY:88   [ErrorCode:0] [Line:417]
start X:183 startY:73 endX:189 endY:96   [ErrorCode:0] [Line:417]
start X:184 startY:79 endX:190 endY:103   [ErrorCode:0] [Line:417]
start X:188 startY:88 endX:192 endY:110   [ErrorCode:0] [Line:417]
start X:189 startY:96 endX:192 endY:114   [ErrorCode:0] [Line:417]
start X:190 startY:103 endX:192 endY:115   [ErrorCode:0] [Line:417]
start X:192 startY:110 endX:192 endY:117   [ErrorCode:0] [Line:417]
start X:192 startY:115 endX:192 endY:119   [ErrorCode:0] [Line:417]
start X:192 startY:117 endX:192 endY:120   [ErrorCode:0] [Line:417]
start X:192 startY:117 endX:192 endY:121   [ErrorCode:0] [Line:417]
start X:192 startY:121 endX:192 endY:121   [ErrorCode:0] [Line:417]
start X:192 startY:121 endX:191 endY:121   [ErrorCode:0] [Line:417]
start X:192 startY:121 endX:190 endY:121   [ErrorCode:0] [Line:417]
start X:191 startY:121 endX:189 endY:121   [ErrorCode:0] [Line:417]
start X:189 startY:121 endX:189 endY:121   [ErrorCode:0] [Line:417]
start X:189 startY:121 endX:188 endY:119   [ErrorCode:0] [Line:417]
start X:189 startY:121 endX:188 endY:118   [ErrorCode:0] [Line:417]
start X:188 startY:119 endX:188 endY:115   [ErrorCode:0] [Line:417]
start X:188 startY:119 endX:188 endY:112   [ErrorCode:0] [Line:417]
start X:188 startY:118 endX:188 endY:109   [ErrorCode:0] [Line:417]
start X:188 startY:115 endX:188 endY:106   [ErrorCode:0] [Line:417]
start X:188 startY:112 endX:188 endY:102   [ErrorCode:0] [Line:417]
start X:188 startY:109 endX:190 endY:99   [ErrorCode:0] [Line:417]
start X:188 startY:106 endX:198 endY:92   [ErrorCode:0] [Line:417]
start X:190 startY:99 endX:203 endY:90   [ErrorCode:0] [Line:417]
start X:190 startY:99 endX:203 endY:90   [ErrorCode:0] [Line:417]
start X:203 startY:90 endX:204 endY:90   [ErrorCode:0] [Line:417]
start X:203 startY:90 endX:207 endY:90   [ErrorCode:0] [Line:417]
start X:203 startY:90 endX:209 endY:90   [ErrorCode:0] [Line:417]
start X:204 startY:90 endX:212 endY:90   [ErrorCode:0] [Line:417]
start X:207 startY:90 endX:212 endY:92   [ErrorCode:0] [Line:417]
start X:209 startY:90 endX:215 endY:94   [ErrorCode:0] [Line:417]
start X:212 startY:90 endX:215 endY:96   [ErrorCode:0] [Line:417]
start X:212 startY:92 endX:216 endY:98   [ErrorCode:0] [Line:417]
start X:215 startY:94 endX:216 endY:103   [ErrorCode:0] [Line:417]
start X:215 startY:96 endX:216 endY:104   [ErrorCode:0] [Line:417]
start X:216 startY:98 endX:216 endY:106   [ErrorCode:0] [Line:417]
start X:216 startY:103 endX:216 endY:107   [ErrorCode:0] [Line:417]
start X:216 startY:106 endX:215 endY:111   [ErrorCode:0] [Line:417]
start X:216 startY:106 endX:210 endY:113   [ErrorCode:0] [Line:417]
start X:216 startY:107 endX:196 endY:117   [ErrorCode:0] [Line:417]
start X:215 startY:111 endX:189 endY:117   [ErrorCode:0] [Line:417]
start X:210 startY:113 endX:177 endY:117   [ErrorCode:0] [Line:417]
start X:196 startY:117 endX:174 endY:117   [ErrorCode:0] [Line:417]
start X:189 startY:117 endX:172 endY:117   [ErrorCode:0] [Line:417]
start X:174 startY:117 endX:170 endY:114   [ErrorCode:0] [Line:417]
start X:172 startY:117 endX:167 endY:103   [ErrorCode:0] [Line:417]
start X:172 startY:117 endX:167 endY:99   [ErrorCode:0] [Line:417]
start X:170 startY:114 endX:167 endY:95   [ErrorCode:0] [Line:417]
start X:167 startY:103 endX:169 endY:84   [ErrorCode:0] [Line:417]
start X:167 startY:99 endX:173 endY:80   [ErrorCode:0] [Line:417]
start X:167 startY:95 endX:178 endY:77   [ErrorCode:0] [Line:417]
start X:169 startY:84 endX:184 endY:75   [ErrorCode:0] [Line:417]
start X:173 startY:80 endX:191 endY:72   [ErrorCode:0] [Line:417]
start X:184 startY:75 endX:195 endY:72   [ErrorCode:0] [Line:417]
start X:195 startY:72 endX:196 endY:72   [ErrorCode:0] [Line:417]
start X:195 startY:72 endX:198 endY:72   [ErrorCode:0] [Line:417]
start X:198 startY:72 endX:200 endY:72   [ErrorCode:0] [Line:417]
start X:198 startY:72 endX:201 endY:75   [ErrorCode:0] [Line:417]
start X:198 startY:72 endX:201 endY:78   [ErrorCode:0] [Line:417]
start X:200 startY:72 endX:203 endY:83   [ErrorCode:0] [Line:417]
start X:201 startY:75 endX:204 endY:90   [ErrorCode:0] [Line:417]
start X:201 startY:78 endX:204 endY:94   [ErrorCode:0] [Line:417]
start X:203 startY:83 endX:203 endY:97   [ErrorCode:0] [Line:417]
start X:204 startY:94 endX:203 endY:99   [ErrorCode:0] [Line:417]
start X:203 startY:97 endX:202 endY:101   [ErrorCode:0] [Line:417]
start X:203 startY:97 endX:200 endY:102   [ErrorCode:0] [Line:417]
start X:203 startY:99 endX:198 endY:104   [ErrorCode:0] [Line:417]
start X:202 startY:101 endX:197 endY:105   [ErrorCode:0] [Line:417]
start X:200 startY:102 endX:196 endY:105   [ErrorCode:0] [Line:417]
start X:198 startY:104 endX:193 endY:105   [ErrorCode:0] [Line:417]
start X:196 startY:105 endX:191 endY:105   [ErrorCode:0] [Line:417]
start X:193 startY:105 endX:190 endY:105   [ErrorCode:0] [Line:417]
start X:191 startY:105 endX:189 endY:105   [ErrorCode:0] [Line:417]
start X:191 startY:105 endX:187 endY:105   [ErrorCode:0] [Line:417]
start X:190 startY:105 endX:182 endY:100   [ErrorCode:0] [Line:417]
start X:189 startY:105 endX:180 endY:96   [ErrorCode:0] [Line:417]
start X:187 startY:105 endX:179 endY:93   [ErrorCode:0] [Line:417]
start X:182 startY:100 endX:179 endY:90   [ErrorCode:0] [Line:417]
start X:180 startY:96 endX:179 endY:87   [ErrorCode:0] [Line:417]
start X:179 startY:93 endX:179 endY:84   [ErrorCode:0] [Line:417]
start X:179 startY:90 endX:179 endY:83   [ErrorCode:0] [Line:417]
start X:179 startY:84 endX:179 endY:82   [ErrorCode:0] [Line:417]
start X:179 startY:82 endX:180 endY:80   [ErrorCode:0] [Line:417]
start X:179 startY:82 endX:181 endY:80   [ErrorCode:0] [Line:417]
start X:180 startY:80 endX:182 endY:80   [ErrorCode:0] [Line:417]
start X:182 startY:80 endX:184 endY:80   [ErrorCode:0] [Line:417]
start X:184 startY:80 endX:185 endY:80   [ErrorCode:0] [Line:417]
start X:185 startY:80 endX:187 endY:80   [ErrorCode:0] [Line:417]
start X:187 startY:80 endX:189 endY:81   [ErrorCode:0] [Line:417]
start X:189 startY:81 endX:189 endY:82   [ErrorCode:0] [Line:417]
start X:189 startY:82 endX:191 endY:84   [ErrorCode:0] [Line:417]
start X:191 startY:84 endX:191 endY:85   [ErrorCode:0] [Line:417]
