connect() error  [ErrorCode:10035] [Line:273]
start X:57 startY:59 endX:57 endY:59   [ErrorCode:0] [Line:414]
start X:57 startY:59 endX:58 endY:59   [ErrorCode:0] [Line:414]
start X:57 startY:59 endX:60 endY:58   [ErrorCode:0] [Line:414]
start X:60 startY:58 endX:62 endY:58   [ErrorCode:0] [Line:414]
start X:60 startY:58 endX:63 endY:57   [ErrorCode:0] [Line:414]
start X:62 startY:58 endX:63 endY:56   [ErrorCode:0] [Line:414]
start X:62 startY:58 endX:66 endY:56   [ErrorCode:0] [Line:414]
start X:63 startY:57 endX:68 endY:55   [ErrorCode:0] [Line:414]
start X:63 startY:56 endX:72 endY:53   [ErrorCode:0] [Line:414]
start X:66 startY:56 endX:78 endY:52   [ErrorCode:0] [Line:414]
start X:68 startY:55 endX:84 endY:51   [ErrorCode:0] [Line:414]
start X:78 startY:52 endX:92 endY:50   [ErrorCode:0] [Line:414]
start X:84 startY:51 endX:99 endY:50   [ErrorCode:0] [Line:414]
start X:99 startY:50 endX:108 endY:48   [ErrorCode:0] [Line:414]
start X:99 startY:50 endX:115 endY:48   [ErrorCode:0] [Line:414]
start X:115 startY:48 endX:124 endY:48   [ErrorCode:0] [Line:414]
start X:115 startY:48 endX:130 endY:48   [ErrorCode:0] [Line:414]
start X:115 startY:48 endX:133 endY:48   [ErrorCode:0] [Line:414]
start X:124 startY:48 endX:137 endY:48   [ErrorCode:0] [Line:414]
start X:130 startY:48 endX:137 endY:48   [ErrorCode:0] [Line:414]
start X:133 startY:48 endX:139 endY:49   [ErrorCode:0] [Line:414]
start X:139 startY:49 endX:139 endY:50   [ErrorCode:0] [Line:414]
start X:139 startY:49 endX:139 endY:50   [ErrorCode:0] [Line:414]
start X:139 startY:49 endX:141 endY:55   [ErrorCode:0] [Line:414]
start X:139 startY:50 endX:143 endY:63   [ErrorCode:0] [Line:414]
start X:139 startY:50 endX:144 endY:67   [ErrorCode:0] [Line:414]
start X:141 startY:55 endX:145 endY:70   [ErrorCode:0] [Line:414]
start X:143 startY:63 endX:145 endY:71   [ErrorCode:0] [Line:414]
start X:144 startY:67 endX:147 endY:75   [ErrorCode:0] [Line:414]
start X:145 startY:70 endX:147 endY:77   [ErrorCode:0] [Line:414]
start X:145 startY:71 endX:147 endY:78   [ErrorCode:0] [Line:414]
start X:147 startY:78 endX:147 endY:79   [ErrorCode:0] [Line:414]
start X:147 startY:78 endX:147 endY:80   [ErrorCode:0] [Line:414]
start X:147 startY:79 endX:147 endY:81   [ErrorCode:0] [Line:414]
start X:147 startY:79 endX:147 endY:82   [ErrorCode:0] [Line:414]
start X:147 startY:81 endX:147 endY:83   [ErrorCode:0] [Line:414]
start X:147 startY:83 endX:147 endY:84   [ErrorCode:0] [Line:414]
start X:147 startY:84 endX:145 endY:84   [ErrorCode:0] [Line:414]
start X:147 startY:84 endX:144 endY:84   [ErrorCode:0] [Line:414]
start X:145 startY:84 endX:141 endY:84   [ErrorCode:0] [Line:414]
start X:144 startY:84 endX:139 endY:84   [ErrorCode:0] [Line:414]
start X:141 startY:84 endX:137 endY:84   [ErrorCode:0] [Line:414]
start X:139 startY:84 endX:135 endY:83   [ErrorCode:0] [Line:414]
start X:139 startY:84 endX:133 endY:82   [ErrorCode:0] [Line:414]
start X:137 startY:84 endX:131 endY:81   [ErrorCode:0] [Line:414]
start X:135 startY:83 endX:130 endY:80   [ErrorCode:0] [Line:414]
start X:133 startY:82 endX:128 endY:79   [ErrorCode:0] [Line:414]
start X:131 startY:81 endX:125 endY:76   [ErrorCode:0] [Line:414]
start X:130 startY:80 endX:124 endY:75   [ErrorCode:0] [Line:414]
start X:128 startY:79 endX:122 endY:74   [ErrorCode:0] [Line:414]
start X:125 startY:76 endX:120 endY:71   [ErrorCode:0] [Line:414]
start X:124 startY:75 endX:119 endY:69   [ErrorCode:0] [Line:414]
start X:122 startY:74 endX:118 endY:69   [ErrorCode:0] [Line:414]
start X:118 startY:69 endX:118 endY:68   [ErrorCode:0] [Line:414]
start X:118 startY:69 endX:118 endY:67   [ErrorCode:0] [Line:414]
start X:118 startY:67 endX:118 endY:66   [ErrorCode:0] [Line:414]
start X:118 startY:66 endX:118 endY:64   [ErrorCode:0] [Line:414]
start X:118 startY:64 endX:118 endY:63   [ErrorCode:0] [Line:414]
start X:118 startY:63 endX:118 endY:62   [ErrorCode:0] [Line:414]
start X:118 startY:63 endX:120 endY:61   [ErrorCode:0] [Line:414]
start X:120 startY:61 endX:122 endY:60   [ErrorCode:0] [Line:414]
start X:120 startY:61 endX:125 endY:59   [ErrorCode:0] [Line:414]
start X:122 startY:60 endX:128 endY:59   [ErrorCode:0] [Line:414]
start X:125 startY:59 endX:131 endY:59   [ErrorCode:0] [Line:414]
start X:128 startY:59 endX:133 endY:59   [ErrorCode:0] [Line:414]
start X:133 startY:59 endX:135 endY:59   [ErrorCode:0] [Line:414]
start X:133 startY:59 endX:138 endY:60   [ErrorCode:0] [Line:414]
start X:138 startY:60 endX:141 endY:64   [ErrorCode:0] [Line:414]
start X:141 startY:64 endX:142 endY:66   [ErrorCode:0] [Line:414]
start X:142 startY:66 endX:143 endY:68   [ErrorCode:0] [Line:414]
start X:143 startY:68 endX:145 endY:71   [ErrorCode:0] [Line:414]
start X:143 startY:68 endX:146 endY:73   [ErrorCode:0] [Line:414]
start X:145 startY:71 endX:147 endY:77   [ErrorCode:0] [Line:414]
start X:145 startY:71 endX:147 endY:80   [ErrorCode:0] [Line:414]
start X:147 startY:77 endX:149 endY:81   [ErrorCode:0] [Line:414]
