connect() error  [ErrorCode:10035] [Line:267]
start X:41 startY:37 endX:42 endY:37   [ErrorCode:0] [Line:408]
start X:42 startY:37 endX:43 endY:37   [ErrorCode:0] [Line:408]
start X:42 startY:37 endX:43 endY:37   [ErrorCode:0] [Line:408]
start X:43 startY:37 endX:44 endY:37   [ErrorCode:0] [Line:408]
start X:44 startY:37 endX:44 endY:39   [ErrorCode:0] [Line:408]
start X:44 startY:37 endX:44 endY:42   [ErrorCode:0] [Line:408]
start X:44 startY:37 endX:44 endY:45   [ErrorCode:0] [Line:408]
start X:44 startY:39 endX:44 endY:48   [ErrorCode:0] [Line:408]
start X:44 startY:42 endX:43 endY:50   [ErrorCode:0] [Line:408]
start X:44 startY:45 endX:41 endY:52   [ErrorCode:0] [Line:408]
start X:44 startY:48 endX:36 endY:54   [ErrorCode:0] [Line:408]
start X:43 startY:50 endX:32 endY:55   [ErrorCode:0] [Line:408]
start X:41 startY:52 endX:28 endY:55   [ErrorCode:0] [Line:408]
start X:36 startY:54 endX:24 endY:55   [ErrorCode:0] [Line:408]
start X:32 startY:55 endX:21 endY:55   [ErrorCode:0] [Line:408]
start X:28 startY:55 endX:17 endY:50   [ErrorCode:0] [Line:408]
start X:24 startY:55 endX:16 endY:26   [ErrorCode:0] [Line:408]
start X:21 startY:55 endX:16 endY:20   [ErrorCode:0] [Line:408]
start X:16 startY:26 endX:18 endY:11   [ErrorCode:0] [Line:408]
start X:16 startY:20 endX:23 endY:5   [ErrorCode:0] [Line:408]
start X:18 startY:11 endX:27 endY:4   [ErrorCode:0] [Line:408]
start X:23 startY:5 endX:30 endY:2   [ErrorCode:0] [Line:408]
start X:27 startY:4 endX:33 endY:1   [ErrorCode:0] [Line:408]
start X:27 startY:4 endX:34 endY:1   [ErrorCode:0] [Line:408]
start X:30 startY:2 endX:35 endY:1   [ErrorCode:0] [Line:408]
start X:35 startY:1 endX:38 endY:2   [ErrorCode:0] [Line:408]
start X:38 startY:2 endX:38 endY:6   [ErrorCode:0] [Line:408]
start X:38 startY:2 endX:38 endY:11   [ErrorCode:0] [Line:408]
start X:38 startY:2 endX:37 endY:15   [ErrorCode:0] [Line:408]
start X:38 startY:6 endX:36 endY:20   [ErrorCode:0] [Line:408]
start X:38 startY:11 endX:36 endY:22   [ErrorCode:0] [Line:408]
start X:36 startY:20 endX:34 endY:23   [ErrorCode:0] [Line:408]
start X:36 startY:22 endX:33 endY:24   [ErrorCode:0] [Line:408]
start X:34 startY:23 endX:31 endY:25   [ErrorCode:0] [Line:408]
start X:33 startY:24 endX:26 endY:27   [ErrorCode:0] [Line:408]
start X:26 startY:27 endX:22 endY:27   [ErrorCode:0] [Line:408]
start X:26 startY:27 endX:22 endY:27   [ErrorCode:0] [Line:408]
start X:26 startY:27 endX:13 endY:30   [ErrorCode:0] [Line:408]
start X:22 startY:27 endX:13 endY:30   [ErrorCode:0] [Line:408]
start X:22 startY:27 endX:11 endY:30   [ErrorCode:0] [Line:408]
start X:11 startY:30 endX:10 endY:30   [ErrorCode:0] [Line:408]
start X:11 startY:30 endX:16 endY:37   [ErrorCode:0] [Line:408]
start X:11 startY:30 endX:22 endY:39   [ErrorCode:0] [Line:408]
start X:10 startY:30 endX:30 endY:45   [ErrorCode:0] [Line:408]
start X:16 startY:37 endX:39 endY:51   [ErrorCode:0] [Line:408]
start X:22 startY:39 endX:42 endY:54   [ErrorCode:0] [Line:408]
