connect() error  [ErrorCode:10035] [Line:280]
start X:400 startY:174 endX:401 endY:174   [ErrorCode:0] [Line:420]
start X:401 startY:174 endX:403 endY:174   [ErrorCode:0] [Line:420]
start X:403 startY:174 endX:410 endY:174   [ErrorCode:0] [Line:420]
start X:410 startY:174 endX:418 endY:174   [ErrorCode:0] [Line:420]
start X:418 startY:174 endX:438 endY:174   [ErrorCode:0] [Line:420]
start X:438 startY:174 endX:468 endY:184   [ErrorCode:0] [Line:420]
start X:468 startY:184 endX:505 endY:201   [ErrorCode:0] [Line:420]
start X:505 startY:201 endX:534 endY:218   [ErrorCode:0] [Line:420]
start X:534 startY:218 endX:551 endY:229   [ErrorCode:0] [Line:420]
start X:551 startY:229 endX:557 endY:238   [ErrorCode:0] [Line:420]
start X:557 startY:238 endX:557 endY:247   [ErrorCode:0] [Line:420]
start X:557 startY:247 endX:557 endY:256   [ErrorCode:0] [Line:420]
start X:557 startY:256 endX:546 endY:274   [ErrorCode:0] [Line:420]
start X:546 startY:274 endX:531 endY:287   [ErrorCode:0] [Line:420]
start X:531 startY:287 endX:499 endY:305   [ErrorCode:0] [Line:420]
start X:499 startY:305 endX:463 endY:319   [ErrorCode:0] [Line:420]
start X:463 startY:319 endX:423 endY:329   [ErrorCode:0] [Line:420]
start X:423 startY:329 endX:375 endY:336   [ErrorCode:0] [Line:420]
start X:375 startY:336 endX:375 endY:336   [ErrorCode:0] [Line:420]
start X:375 startY:336 endX:329 endY:336   [ErrorCode:0] [Line:420]
start X:329 startY:336 endX:260 endY:323   [ErrorCode:0] [Line:420]
start X:260 startY:323 endX:236 endY:309   [ErrorCode:0] [Line:420]
start X:236 startY:309 endX:225 endY:299   [ErrorCode:0] [Line:420]
start X:225 startY:299 endX:221 endY:288   [ErrorCode:0] [Line:420]
start X:221 startY:288 endX:221 endY:278   [ErrorCode:0] [Line:420]
start X:221 startY:278 endX:228 endY:260   [ErrorCode:0] [Line:420]
start X:228 startY:260 endX:250 endY:236   [ErrorCode:0] [Line:420]
start X:250 startY:236 endX:284 endY:218   [ErrorCode:0] [Line:420]
start X:284 startY:218 endX:337 endY:208   [ErrorCode:0] [Line:420]
start X:337 startY:208 endX:399 endY:208   [ErrorCode:0] [Line:420]
start X:399 startY:208 endX:470 endY:208   [ErrorCode:0] [Line:420]
start X:470 startY:208 endX:539 endY:224   [ErrorCode:0] [Line:420]
start X:539 startY:224 endX:588 endY:240   [ErrorCode:0] [Line:420]
start X:588 startY:240 endX:625 endY:258   [ErrorCode:0] [Line:420]
start X:625 startY:258 endX:635 endY:269   [ErrorCode:0] [Line:420]
start X:635 startY:269 endX:639 endY:278   [ErrorCode:0] [Line:420]
start X:639 startY:278 endX:637 endY:293   [ErrorCode:0] [Line:420]
start X:637 startY:293 endX:621 endY:315   [ErrorCode:0] [Line:420]
start X:621 startY:315 endX:591 endY:339   [ErrorCode:0] [Line:420]
start X:591 startY:339 endX:544 endY:362   [ErrorCode:0] [Line:420]
start X:544 startY:362 endX:495 endY:376   [ErrorCode:0] [Line:420]
start X:495 startY:376 endX:443 endY:380   [ErrorCode:0] [Line:420]
start X:443 startY:380 endX:405 endY:380   [ErrorCode:0] [Line:420]
start X:405 startY:380 endX:373 endY:376   [ErrorCode:0] [Line:420]
start X:373 startY:376 endX:352 endY:365   [ErrorCode:0] [Line:420]
start X:352 startY:365 endX:335 endY:351   [ErrorCode:0] [Line:420]
start X:335 startY:351 endX:328 endY:338   [ErrorCode:0] [Line:420]
start X:328 startY:338 endX:326 endY:325   [ErrorCode:0] [Line:420]
start X:326 startY:325 endX:326 endY:307   [ErrorCode:0] [Line:420]
start X:326 startY:307 endX:336 endY:281   [ErrorCode:0] [Line:420]
start X:336 startY:281 endX:354 endY:249   [ErrorCode:0] [Line:420]
start X:354 startY:249 endX:395 endY:220   [ErrorCode:0] [Line:420]
start X:395 startY:220 endX:442 endY:200   [ErrorCode:0] [Line:420]
start X:442 startY:200 endX:502 endY:196   [ErrorCode:0] [Line:420]
start X:502 startY:196 endX:569 endY:196   [ErrorCode:0] [Line:420]
start X:569 startY:196 endX:643 endY:202   [ErrorCode:0] [Line:420]
start X:643 startY:202 endX:705 endY:220   [ErrorCode:0] [Line:420]
start X:705 startY:220 endX:761 endY:251   [ErrorCode:0] [Line:420]
start X:761 startY:251 endX:789 endY:274   [ErrorCode:0] [Line:420]
start X:789 startY:274 endX:800 endY:297   [ErrorCode:0] [Line:420]
start X:800 startY:297 endX:800 endY:322   [ErrorCode:0] [Line:420]
start X:800 startY:322 endX:756 endY:397   [ErrorCode:0] [Line:420]
start X:756 startY:397 endX:707 endY:427   [ErrorCode:0] [Line:420]
start X:707 startY:427 endX:640 endY:448   [ErrorCode:0] [Line:420]
start X:640 startY:448 endX:571 endY:454   [ErrorCode:0] [Line:420]
start X:571 startY:454 endX:504 endY:454   [ErrorCode:0] [Line:420]
start X:504 startY:454 endX:444 endY:437   [ErrorCode:0] [Line:420]
start X:444 startY:437 endX:386 endY:414   [ErrorCode:0] [Line:420]
start X:386 startY:414 endX:300 endY:357   [ErrorCode:0] [Line:420]
start X:300 startY:357 endX:276 endY:334   [ErrorCode:0] [Line:420]
start X:276 startY:334 endX:270 endY:300   [ErrorCode:0] [Line:420]
start X:270 startY:300 endX:276 endY:270   [ErrorCode:0] [Line:420]
start X:276 startY:270 endX:308 endY:253   [ErrorCode:0] [Line:420]
start X:308 startY:253 endX:372 endY:240   [ErrorCode:0] [Line:420]
start X:372 startY:240 endX:455 endY:240   [ErrorCode:0] [Line:420]
start X:455 startY:240 endX:554 endY:253   [ErrorCode:0] [Line:420]
start X:554 startY:253 endX:672 endY:276   [ErrorCode:0] [Line:420]
start X:672 startY:276 endX:785 endY:313   [ErrorCode:0] [Line:420]
start X:785 startY:313 endX:870 endY:348   [ErrorCode:0] [Line:420]
start X:870 startY:348 endX:926 endY:382   [ErrorCode:0] [Line:420]
start X:926 startY:382 endX:945 endY:411   [ErrorCode:0] [Line:420]
start X:945 startY:411 endX:947 endY:437   [ErrorCode:0] [Line:420]
start X:947 startY:437 endX:936 endY:470   [ErrorCode:0] [Line:420]
start X:936 startY:470 endX:897 endY:499   [ErrorCode:0] [Line:420]
start X:897 startY:499 endX:840 endY:521   [ErrorCode:0] [Line:420]
start X:840 startY:521 endX:765 endY:532   [ErrorCode:0] [Line:420]
start X:765 startY:532 endX:692 endY:532   [ErrorCode:0] [Line:420]
start X:692 startY:532 endX:612 endY:513   [ErrorCode:0] [Line:420]
start X:612 startY:513 endX:533 endY:483   [ErrorCode:0] [Line:420]
start X:533 startY:483 endX:459 endY:450   [ErrorCode:0] [Line:420]
start X:459 startY:450 endX:390 endY:418   [ErrorCode:0] [Line:420]
start X:390 startY:418 endX:339 endY:385   [ErrorCode:0] [Line:420]
start X:339 startY:385 endX:313 endY:361   [ErrorCode:0] [Line:420]
start X:313 startY:361 endX:306 endY:348   [ErrorCode:0] [Line:420]
start X:306 startY:348 endX:306 endY:329   [ErrorCode:0] [Line:420]
start X:306 startY:329 endX:313 endY:299   [ErrorCode:0] [Line:420]
start X:313 startY:299 endX:352 endY:266   [ErrorCode:0] [Line:420]
start X:352 startY:266 endX:414 endY:245   [ErrorCode:0] [Line:420]
start X:414 startY:245 endX:509 endY:238   [ErrorCode:0] [Line:420]
start X:509 startY:238 endX:618 endY:239   [ErrorCode:0] [Line:420]
start X:618 startY:239 endX:730 endY:260   [ErrorCode:0] [Line:420]
start X:730 startY:260 endX:827 endY:287   [ErrorCode:0] [Line:420]
start X:827 startY:287 endX:898 endY:322   [ErrorCode:0] [Line:420]
start X:898 startY:322 endX:929 endY:347   [ErrorCode:0] [Line:420]
start X:929 startY:347 endX:936 endY:367   [ErrorCode:0] [Line:420]
start X:936 startY:367 endX:929 endY:397   [ErrorCode:0] [Line:420]
start X:929 startY:397 endX:838 endY:462   [ErrorCode:0] [Line:420]
